max_depth,max_features,min_samples_leaf,min_samples_split,random_state
5,0.78,5,2,1
16,0.823,3,14,1
41,0.147,12,12,1
23,0.93,2,2,1
7,0.837,2,8,1
44,0.815,9,6,1
19,0.776,3,6,1
18,0.852,2,8,1
41,0.426,1,20,1
36,0.84,2,2,1
33,0.98,1,2,1
4,0.64,3,5,1
5,0.448,1,8,1
28,0.37,4,5,1
15,0.552,1,16,1
44,0.83,7,15,1
42,0.644,5,10,1
50,0.42,4,4,1
41,0.91,2,9,1
22,0.604,7,6,1
6,0.683,3,4,1
30,0.096,5,8,1
37,0.823,4,5,1
5,0.577,2,10,1
17,0.956,7,2,1
11,0.748,6,17,1
25,0.613,10,5,1
30,0.92,7,13,1
41,0.767,3,5,1
49,0.351,3,4,1
27,0.868,2,14,1
26,0.935,3,5,1
1,0.654,8,3,1
10,0.806,1,5,1
42,0.801,5,8,1
19,0.279,3,3,1
36,0.761,1,8,1
5,0.57,1,2,1
38,0.78,8,5,1
43,0.602,6,17,1
27,0.935,8,2,1
9,0.911,5,11,1
32,0.445,17,2,1
50,0.868,1,2,1
13,0.413,2,3,1
42,0.527,4,2,1
47,0.989,8,11,1
32,0.266,5,7,1
48,0.188,3,18,1
6,0.891,3,11,1
45,0.91,5,12,1
41,0.965,4,4,1
9,0.834,4,17,1
11,0.111,4,6,1
9,0.611,6,3,1
42,0.538,6,14,1
3,0.06,7,15,1
24,0.74,3,3,1
16,0.651,3,13,1
37,0.27,6,17,1
34,0.916,7,14,1
26,0.8,2,12,1
31,0.703,1,14,1
22,0.774,4,7,1
22,0.65,3,11,1
30,0.903,6,2,1
47,0.193,8,17,1
34,0.33,1,10,1
21,0.637,4,3,1
43,0.229,13,11,1
43,0.849,4,19,1
45,0.19,2,12,1
3,0.93,4,2,1
3,0.296,17,10,1
42,0.931,10,5,1
40,0.89,1,2,1
43,0.545,8,4,1
27,0.936,6,17,1
20,0.317,5,2,1
32,0.279,6,8,1
5,0.118,8,7,1
4,0.366,4,13,1
28,0.62,7,18,1
28,0.923,2,9,1
45,0.787,3,2,1
12,0.284,1,7,1
42,0.951,8,10,1
50,0.566,7,8,1
39,0.943,11,10,1
41,0.61,10,2,1
20,0.697,5,14,1
25,0.84,2,6,1
23,0.578,8,14,1
8,0.312,5,17,1
39,0.72,8,7,1
14,0.611,5,14,1
24,0.58,9,10,1
7,0.559,4,13,1
24,0.536,5,19,1
47,0.413,6,3,1
18,0.635,7,6,1
16,0.88,7,6,1
47,0.55,6,9,1
7,0.115,4,9,1
13,0.623,2,4,1
30,0.547,1,11,1
12,0.849,5,8,1
25,0.541,1,15,1
6,0.632,2,5,1
47,0.95,1,9,1
9,0.408,5,12,1
43,0.905,3,12,1
20,0.643,1,2,1
47,0.751,6,3,1
10,0.68,5,2,1
34,0.759,6,6,1
5,0.427,6,8,1
41,0.72,8,3,1
10,0.552,1,7,1
21,0.48,3,11,1
27,0.714,8,13,1
41,0.764,4,10,1
37,0.67,7,15,1
1,0.576,1,14,1
17,0.7,2,3,1
15,0.243,6,14,1
26,0.604,8,10,1
7,0.63,6,14,1
49,0.61,1,7,1
36,0.883,8,10,1
50,0.98,1,2,1
14,0.706,20,7,1
27,0.717,2,11,1
46,0.886,1,7,1
44,0.665,3,6,1
14,0.32,7,18,1
6,0.687,2,11,1
40,0.03,7,2,1
28,0.588,2,13,1
41,0.234,3,2,1
27,0.991,5,11,1
37,0.876,6,15,1
46,0.682,3,17,1
1,0.023,3,18,1
7,0.95,3,2,1
47,0.615,3,20,1
28,0.52,7,5,1
29,0.707,9,6,1
13,0.738,4,11,1
3,0.895,13,7,1
3,0.882,7,4,1
26,0.689,4,10,1
44,0.57,9,4,1
26,0.709,1,8,1
18,0.411,1,10,1
46,0.91,9,5,1
34,0.988,2,6,1
13,0.582,3,4,1
18,0.574,8,3,1
11,0.92,4,4,1
9,0.075,7,9,1
49,0.266,1,11,1
10,0.74,5,8,1
18,0.652,5,8,1
23,0.989,8,12,1
21,0.664,7,3,1
47,0.868,4,10,1
50,0.584,1,7,1
30,0.646,4,10,1
32,0.54,1,2,1
39,0.929,14,4,1
19,0.839,6,5,1
11,0.05,5,3,1
43,0.89,8,5,1
46,0.556,2,4,1
39,0.667,1,16,1
38,0.37,1,9,1
7,0.774,3,2,1
20,0.653,1,17,1
34,0.63,6,4,1
18,0.955,4,13,1
12,0.755,5,14,1
36,0.984,2,17,1
5,0.742,5,4,1
50,0.56,1,12,1
25,0.553,1,10,1
21,0.265,2,9,1
49,0.385,7,4,1
40,0.73,4,11,1
40,0.84,7,5,1
18,0.57,3,18,1
44,0.298,5,10,1
23,0.704,6,15,1
17,0.801,1,5,1
15,0.443,1,9,1
33,0.932,7,8,1
23,0.575,8,7,1
11,0.153,2,13,1
4,0.808,6,4,1
20,0.885,3,4,1
