max_depth,max_features,min_samples_leaf,min_samples_split,random_state
40,0.539,9,13,1
19,0.59,2,11,1
47,0.45,6,7,1
9,0.623,1,7,1
35,0.334,5,8,1
44,0.784,1,7,1
27,0.477,5,5,1
36,0.737,2,10,1
10,0.704,20,17,1
16,0.977,5,15,1
28,0.967,15,17,1
14,0.793,1,19,1
18,0.846,15,6,1
34,0.627,3,3,1
36,0.41,1,6,1
32,0.885,17,8,1
37,0.224,1,10,1
27,0.468,2,5,1
35,0.41,16,20,1
7,0.85,11,9,1
25,0.45,8,3,1
12,0.694,3,4,1
11,0.934,1,20,1
6,0.86,1,6,1
47,0.628,5,2,1
19,0.95,16,3,1
49,0.88,7,19,1
48,0.759,5,12,1
42,0.853,10,11,1
42,0.984,11,3,1
6,0.355,7,14,1
44,0.661,1,8,1
42,0.84,2,13,1
8,0.881,15,4,1
38,0.37,9,2,1
28,0.541,6,4,1
47,0.863,5,3,1
14,0.097,10,19,1
43,0.58,1,9,1
48,0.857,4,15,1
8,0.89,17,9,1
6,0.659,9,3,1
33,0.656,10,13,1
35,0.984,19,3,1
50,0.983,1,9,1
14,0.077,2,9,1
19,0.93,9,11,1
35,0.996,8,2,1
12,0.85,14,14,1
24,0.642,2,3,1
49,0.617,4,10,1
12,0.879,2,10,1
14,0.712,8,12,1
7,0.72,2,18,1
41,0.6,3,4,1
36,0.53,1,20,1
27,0.984,4,8,1
23,0.462,17,16,1
47,0.955,5,13,1
12,0.514,1,13,1
6,0.84,1,10,1
42,0.863,10,6,1
25,0.52,1,16,1
47,0.964,9,19,1
15,0.45,4,3,1
16,0.82,3,14,1
17,0.898,13,4,1
10,0.743,3,16,1
36,0.871,1,2,1
27,0.975,1,18,1
12,0.346,7,4,1
31,0.47,6,3,1
19,0.633,6,5,1
33,0.44,4,10,1
25,0.969,1,14,1
10,0.644,8,16,1
22,0.79,1,9,1
32,0.654,1,3,1
13,0.92,1,4,1
12,0.958,4,7,1
24,0.849,6,2,1
11,0.837,5,11,1
25,0.582,1,7,1
41,0.85,1,9,1
15,0.91,18,3,1
18,0.589,7,17,1
50,0.556,7,17,1
13,0.921,2,13,1
17,0.367,3,8,1
47,0.823,7,5,1
4,0.365,3,5,1
5,0.909,2,6,1
35,0.505,1,6,1
30,0.948,13,15,1
11,0.811,9,5,1
12,0.562,6,13,1
46,0.984,4,12,1
18,0.971,7,13,1
21,0.756,1,5,1
7,0.56,2,2,1
41,0.936,7,6,1
7,0.69,10,15,1
40,0.574,2,14,1
30,0.733,6,14,1
32,0.61,2,14,1
19,0.989,2,12,1
18,0.382,9,13,1
40,0.941,4,19,1
3,0.922,11,2,1
7,0.879,10,13,1
29,0.803,4,17,1
39,0.872,1,15,1
35,0.93,2,8,1
34,0.897,10,4,1
34,0.627,6,16,1
48,0.846,11,17,1
11,0.762,4,9,1
47,0.855,3,2,1
12,0.363,10,2,1
18,0.975,5,11,1
26,0.91,1,14,1
4,0.496,1,18,1
14,0.879,17,12,1
10,0.74,3,3,1
30,0.66,6,11,1
40,0.449,10,13,1
44,0.829,5,15,1
41,0.647,4,10,1
9,0.647,1,10,1
25,0.388,11,16,1
36,0.442,10,18,1
45,0.825,1,9,1
35,0.736,13,10,1
25,0.562,11,6,1
9,0.87,5,19,1
15,0.941,2,11,1
49,0.547,3,14,1
30,0.637,3,14,1
50,0.76,4,8,1
17,0.688,8,8,1
46,1.0,2,11,1
17,0.525,11,15,1
8,0.954,17,19,1
42,0.922,3,14,1
9,0.97,3,7,1
11,0.585,2,4,1
18,0.562,4,12,1
42,0.806,5,9,1
9,0.464,8,20,1
5,0.9,1,2,1
9,0.854,2,14,1
21,0.984,18,17,1
24,0.6,8,16,1
48,0.864,19,15,1
41,0.591,11,7,1
7,0.69,1,5,1
39,0.67,6,19,1
38,0.798,2,8,1
48,0.56,3,17,1
9,0.984,10,11,1
20,0.929,3,11,1
23,0.476,5,6,1
21,0.46,9,6,1
21,0.633,10,10,1
34,0.614,4,9,1
28,0.718,3,15,1
37,0.484,9,18,1
23,0.34,7,7,1
8,0.905,7,2,1
9,0.893,4,10,1
29,0.4,3,8,1
23,0.339,5,9,1
49,0.431,4,7,1
17,0.865,6,16,1
27,0.851,3,11,1
42,0.724,6,3,1
23,0.92,8,4,1
28,0.887,16,5,1
40,0.51,2,4,1
8,0.658,3,17,1
21,0.728,1,7,1
7,0.461,5,18,1
43,0.756,1,15,1
43,0.799,2,18,1
47,0.7,8,2,1
48,0.404,3,6,1
39,0.868,17,17,1
13,0.781,11,2,1
12,0.555,11,5,1
6,0.525,3,10,1
20,0.935,7,13,1
12,0.78,1,12,1
42,0.44,5,6,1
47,0.887,3,3,1
11,0.5,4,10,1
35,0.714,6,3,1
46,0.84,1,4,1
34,0.595,4,6,1
8,0.523,11,15,1
23,0.775,10,9,1
