max_depth,max_features,min_samples_leaf,min_samples_split,random_state
28,0.31,2,5,1
39,1.0,5,7,1
8,0.914,1,7,1
13,0.598,3,9,1
6,0.79,3,10,1 
27,0.135,3,8,1
21,0.01,2,8,1
3,0.63,5,11,1
18,0.01,4,11,1
36,0.91,2,11,1
49,1.0,1,3,1
18,0.791,4,6,1
30,0.07,1,3,1
33,0.676,2,8,1
23,0.827,4,2,1
50,1.0,1,3,1
42,0.077,2,4,1
42,0.299,5,3,1
30,0.749,5,2,1
1,0.475,1,6,1
29,0.96,5,9,1
39,0.563,2,5,1
20,0.61,2,9,1
13,0.581,1,3,1
44,0.44,1,10,1
8,0.72,1,4,1
4,0.463,2,2,1
5,1.0,1,4,1
40,0.453,5,7,1
42,0.66,1,7,1
12,0.013,3,9,1
32,0.925,1,4,1
49,0.48,3,6,1
19,0.073,5,11,1
18,0.624,1,7,1
24,0.736,4,9,1
18,0.506,2,2,1
17,0.625,1,11,1
20,0.504,3,4,1
41,0.377,4,5,1
38,0.277,5,6,1
19,0.964,2,9,1
50,0.46,3,5,1
1,0.763,1,5,1
50,0.92,3,9,1
8,0.189,1,4,1
50,0.01,1,3,1
13,0.464,2,8,1
15,0.031,5,11,1
15,0.571,1,6,1
15,0.315,14,14,1
33,0.45,1,7,1
22,0.833,2,8,1
50,0.49,3,5,1
24,0.05,3,4,1
28,0.488,1,2,1
17,0.102,1,4,1
22,0.851,1,2,1
28,0.331,1,2,1
45,0.34,2,2,1
