actual_depth,max_depth,max_features,min_samples_leaf,min_samples_split,random_state
8,10,0.48,1,2,1
5,5,0.7,2,2,1
6,6,0.445,1,5,1
6,11,0.74,2,4,1
2,4,0.336,4,17,1
2,9,0.713,7,11,1
5,9,0.617,1,5,1
4,7,0.441,2,7,1
7,9,0.836,1,3,1
1,9,0.847,8,2,1
6,9,0.63,1,7,1
1,5,0.808,11,14,1
3,7,0.829,4,3,1
2,4,0.861,4,13,1
1,2,0.632,8,8,1
2,8,0.447,6,14,1
5,8,0.8,2,7,1
3,8,0.83,2,12,1
1,1,0.514,6,9,1
1,8,0.29,2,17,1
3,10,0.604,4,7,1
3,5,0.399,1,13,1
4,4,0.682,1,2,1
4,4,0.376,3,2,1
2,7,0.435,6,16,1
8,11,0.3,1,2,1
5,5,0.114,3,6,1
6,6,0.18,1,3,1
4,4,0.887,1,6,1
1,4,0.294,11,11,1
2,9,0.266,4,13,1
2,8,0.667,6,5,1
5,5,0.28,1,2,1
3,5,0.88,1,15,1
3,7,0.84,4,7,1
3,3,0.369,2,5,1
3,3,0.927,5,7,1
1,8,0.973,9,19,1
3,7,0.37,3,8,1
2,11,0.688,3,16,1
1,9,0.796,9,19,1
2,8,0.378,4,16,1
7,7,0.5,1,4,1
3,10,0.27,1,13,1
3,5,0.514,2,12,1
3,4,0.46,4,8,1
6,7,0.051,1,5,1
6,6,0.07,1,4,1
1,5,0.553,4,16,1
7,12,0.44,1,2,1
6,6,0.54,1,2,1
4,4,0.202,2,3,1
3,9,0.06,4,5,1
4,4,0.706,2,2,1
2,10,0.782,7,11,1
5,12,0.63,2,4,1
6,7,0.69,1,5,1
2,4,0.5,3,16,1
1,1,0.974,6,11,1
3,3,0.199,3,5,1
