actual_depth,max_depth,max_features,min_samples_leaf,min_samples_split,random_state
5,10,0.22,1,2,1
3,11,0.165,2,3,1
5,5,0.904,1,2,1
4,10,0.273,1,5,1
1,3,0.827,3,4,1
4,7,0.66,2,3,1
1,1,0.351,1,4,1
2,8,1.0,3,2,1
4,5,0.11,1,2,1
4,5,0.49,1,3,1
5,6,0.981,1,2,1
4,9,0.952,2,4,1
4,8,0.71,1,5,1
3,6,0.55,2,2,1
4,8,0.301,1,3,1
0,3,0.346,2,13,1
0,7,0.589,8,15,1
3,5,0.41,1,5,1
4,4,0.716,1,2,1
5,12,0.835,1,3,1
1,5,0.239,5,6,1
1,1,0.716,1,2,1
3,4,0.01,2,4,1
7,7,0.31,1,2,1
4,11,0.338,1,4,1
4,4,0.58,1,2,1
3,3,0.26,1,5,1
6,8,0.46,1,3,1
0,7,0.917,8,2,1
5,9,0.01,1,2,1
2,6,0.652,3,4,1
3,8,0.352,2,4,1
3,9,0.472,2,2,1
4,5,0.15,1,4,1
2,6,0.756,2,5,1
6,9,0.763,1,3,1
3,6,0.49,2,2,1
3,6,0.56,1,5,1
2,7,0.212,1,6,1
2,2,0.493,2,5,1
2,2,0.38,1,4,1
2,8,0.328,3,4,1
4,5,0.654,1,4,1
1,1,0.406,2,3,1
1,1,0.723,1,6,1
4,4,0.887,1,2,1
2,7,0.829,2,6,1
7,9,0.67,1,2,1
3,4,0.81,2,2,1
5,6,0.151,1,3,1
2,9,0.307,3,5,1
5,9,0.293,1,2,1
2,8,0.886,3,7,1
3,4,0.72,1,4,1
7,8,0.09,1,2,1
0,11,0.877,7,2,1
1,1,0.806,3,4,1
2,2,0.739,1,2,1
2,9,0.769,1,6,1
0,3,0.073,10,3,1
