actual_depth,max_depth,max_features,min_samples_leaf,min_samples_split,random_state
5,5,0.96,4,8,1
4,4,0.47,3,8,1
4,8,0.91,2,20,1
5,10,0.3,2,14,1
5,11,0.482,1,18,1
6,6,0.371,1,4,1
8,9,0.982,3,8,1
3,6,0.27,7,12,1
5,9,0.81,3,13,1
6,11,0.93,2,16,1
2,6,0.39,12,15,1
4,4,0.544,3,12,1
6,9,0.922,4,4,1
5,5,0.61,1,4,1
5,10,0.223,3,2,1
4,4,0.916,3,5,1
1,1,0.907,3,7,1
2,2,0.055,9,2,1
3,4,0.68,10,11,1
1,1,0.693,4,11,1
1,1,0.01,1,10,1
3,12,0.15,1,15,1
11,12,0.782,1,2,1
8,10,0.73,3,2,1
7,7,0.76,1,2,1
1,1,0.41,2,2,1
5,5,0.155,2,6,1
5,5,0.38,3,7,1
6,8,0.812,1,15,1
5,7,0.97,5,9,1
4,6,0.54,6,12,1
7,11,0.381,1,10,1
8,12,0.87,1,4,1
8,11,0.929,1,9,1
9,9,0.75,1,7,1
6,6,0.814,1,2,1
4,8,0.84,5,2,1
3,3,0.408,1,18,1
6,6,0.756,1,8,1
4,4,0.88,1,2,1
8,8,0.64,1,7,1
5,5,0.865,2,7,1
2,5,0.372,9,19,1
4,4,0.572,3,2,1
6,6,0.511,2,2,1
5,5,0.875,3,18,1
2,2,0.98,2,9,1
1,1,0.189,10,11,1
6,6,0.702,1,5,1
4,8,0.46,2,20,1
5,5,0.84,3,8,1
4,4,0.992,1,2,1
4,4,0.34,1,3,1
11,12,0.81,1,5,1
7,10,0.296,3,2,1
5,5,0.76,2,3,1
1,1,0.01,8,18,1
5,8,0.535,6,3,1
8,9,0.99,2,8,1
7,7,0.726,2,2,1
5,5,0.111,2,5,1
6,11,0.31,2,12,1
10,10,0.88,1,2,1
5,9,1.0,3,8,1
4,12,0.06,1,12,1
1,1,0.73,1,19,1
3,3,0.657,1,7,1
1,1,0.949,3,5,1
4,4,0.45,1,19,1
3,10,0.816,9,20,1
4,4,0.863,2,3,1
1,1,0.625,1,15,1
4,8,0.871,3,15,1
5,9,0.723,4,10,1
8,9,0.86,2,10,1
4,6,0.345,5,3,1
8,9,0.847,2,11,1
4,4,0.98,1,2,1
8,12,0.761,2,2,1
4,4,0.15,1,4,1
5,10,0.539,3,11,1
6,8,0.75,3,8,1
4,4,1.0,1,8,1
4,7,0.85,7,2,1
6,6,0.938,3,2,1
1,1,0.38,2,2,1
5,5,0.944,3,3,1
3,3,0.824,1,14,1
8,12,0.745,2,7,1
7,9,0.86,3,13,1
8,12,0.531,1,9,1
2,2,0.65,8,2,1
4,4,1.0,2,10,1
3,7,0.059,5,14,1
1,1,0.098,1,12,1
3,3,0.835,1,2,1
2,3,0.63,4,20,1
8,8,0.447,1,2,1
2,2,0.869,1,7,1
4,10,0.44,6,8,1
7,7,0.97,1,5,1
7,7,0.693,1,2,1
8,8,0.8,2,2,1
10,10,0.01,1,2,1
9,9,1.0,1,5,1
2,2,0.915,2,19,1
2,2,0.726,7,10,1
3,11,0.374,7,8,1
1,1,0.72,3,2,1
3,6,0.63,9,17,1
3,3,0.74,1,6,1
5,5,0.1,2,2,1
1,1,0.634,4,17,1
7,7,0.747,1,10,1
3,12,0.23,5,16,1
9,9,0.59,1,3,1
4,4,0.315,1,7,1
7,9,0.972,3,12,1
6,6,0.68,2,5,1
4,4,0.72,4,2,1
1,1,0.697,5,3,1
7,8,0.24,2,2,1
5,6,0.288,1,16,1
4,10,0.947,5,16,1
8,8,0.386,1,2,1
6,6,0.859,1,6,1
3,9,0.174,3,13,1
5,5,0.253,1,6,1
9,9,0.75,1,2,1
2,2,0.93,1,17,1
1,1,0.433,3,18,1
6,6,0.58,2,6,1
4,4,0.872,1,2,1
1,1,0.29,1,20,1
6,11,0.89,3,10,1
3,3,0.039,6,10,1
4,4,0.987,3,16,1
1,1,0.56,10,12,1
6,6,0.97,1,2,1
6,6,0.819,1,15,1
9,12,0.947,2,4,1
6,6,0.42,3,2,1
4,7,0.366,3,19,1
3,3,0.187,1,3,1
4,4,0.82,1,8,1
1,1,0.84,7,14,1
6,11,0.228,2,6,1
5,5,0.938,1,14,1
1,1,0.81,10,13,1
1,1,0.76,1,7,1
8,10,0.96,3,2,1
1,1,0.8,3,12,1
5,9,0.26,3,18,1
6,7,0.73,2,16,1
2,2,0.493,6,17,1
5,5,0.93,2,8,1
5,5,0.716,3,2,1
9,10,0.39,2,2,1
5,5,0.294,3,2,1
3,3,0.89,2,13,1
11,11,0.58,1,6,1
3,6,0.571,7,16,1
8,9,0.931,1,7,1
7,7,0.64,2,2,1
6,10,0.938,2,15,1
1,1,0.564,4,15,1
8,8,0.736,2,4,1
4,4,0.374,2,5,1
4,4,0.996,2,2,1
6,7,0.46,2,16,1
3,10,0.85,7,12,1
1,1,0.61,2,7,1
5,7,0.3,4,9,1
3,3,0.379,3,15,1
4,9,0.594,7,12,1
4,6,0.38,2,19,1
4,4,0.361,2,18,1
3,3,0.347,2,15,1
7,11,0.37,3,6,1
9,9,0.68,1,5,1
3,3,0.75,5,19,1
8,8,0.859,3,2,1
9,9,0.48,1,2,1
1,1,0.92,1,15,1
1,1,0.361,2,10,1
4,4,0.737,3,11,1
7,7,0.92,3,10,1
5,5,0.868,1,2,1
6,12,0.86,2,12,1
6,6,0.608,1,4,1
5,11,0.793,5,7,1
3,4,0.726,4,19,1
7,7,0.87,1,4,1
1,1,0.84,5,14,1
6,6,0.5,1,5,1
7,7,0.678,1,2,1
1,1,0.58,5,14,1
3,3,0.01,1,2,1
11,11,0.9,1,7,1
6,6,0.62,1,3,1
