actual_depth,max_depth,max_features,min_samples_leaf,min_samples_split,random_state
12,12,0.84,2,2,1
12,12,0.93,2,2,1
12,12,0.827,3,2,1
12,12,0.86,2,2,1
12,12,0.73,1,6,1
11,11,0.92,2,8,1
11,11,0.932,1,2,1
12,12,0.79,2,9,1
10,10,0.962,1,2,1
12,12,0.64,4,2,1
9,9,0.769,4,2,1
11,11,0.45,1,5,1
12,12,0.55,1,2,1
11,11,0.447,1,7,1
11,11,0.837,2,4,1
11,11,0.939,3,6,1
11,11,0.87,1,2,1
9,9,0.93,1,3,1
12,12,0.94,2,9,1
11,11,0.84,4,8,1
11,12,0.641,5,6,1
10,10,0.929,4,7,1
12,12,0.566,3,9,1
12,12,0.98,3,2,1
11,11,0.57,3,2,1
9,9,0.9,5,5,1
11,11,0.947,2,3,1
