actual_depth,max_depth,max_features,min_samples_leaf,min_samples_split,random_state
12,12,0.727,1,2,1
9,9,0.981,2,11,1
8,8,0.83,4,3,1
8,8,0.91,3,13,1
10,10,0.79,3,8,1
10,12,0.95,10,13,1
12,12,0.8,1,2,1
9,9,0.64,6,10,1
11,11,0.64,1,2,1
11,12,0.82,4,10,1
11,11,0.727,5,9,1
12,12,0.82,3,9,1
12,12,0.963,2,3,1
9,9,0.816,5,11,1
12,12,0.81,1,7,1
9,9,0.9,3,9,1
8,8,0.9,3,2,1
12,12,0.81,9,18,1
10,10,0.902,1,2,1
10,10,0.88,5,6,1
12,12,0.95,3,7,1
12,12,0.96,1,2,1
12,12,0.89,2,7,1
12,12,0.941,2,5,1
11,11,0.93,4,2,1
9,9,0.933,4,2,1
9,9,0.892,4,8,1
9,9,0.59,5,12,1
12,12,0.78,2,2,1
11,11,0.977,5,12,1
9,9,0.89,1,3,1
11,11,0.578,7,13,1
9,9,0.93,1,2,1
9,9,0.83,1,2,1
10,10,0.975,2,7,1
10,10,0.76,5,9,1
11,11,0.849,1,2,1
7,7,0.91,1,11,1
12,12,0.87,2,3,1
11,11,0.83,1,4,1
10,10,0.94,2,9,1
11,11,0.81,3,15,1
11,12,0.76,5,8,1
11,11,0.872,5,6,1
11,12,0.94,4,7,1
10,10,0.92,3,2,1
10,10,0.827,3,5,1
7,7,0.78,5,11,1
10,10,0.62,2,7,1
9,9,0.86,4,11,1
12,12,0.58,1,9,1
12,12,0.95,1,3,1
9,9,0.93,1,3,1
11,11,1.0,6,8,1
9,9,0.92,1,5,1
9,9,0.96,3,16,1
9,9,0.882,3,8,1
11,11,0.61,1,2,1
9,9,0.739,2,5,1
8,8,0.63,2,16,1
10,10,0.88,4,9,1
12,12,0.68,3,7,1
8,8,0.93,1,9,1
10,10,0.703,3,11,1
9,9,0.854,4,2,1
11,11,0.76,1,6,1
10,10,0.41,2,7,1
11,11,0.56,2,4,1
12,12,0.69,2,2,1
10,12,1.0,7,10,1
12,12,0.538,1,15,1
12,12,0.972,2,9,1
10,10,0.78,1,5,1
9,9,0.75,6,15,1
12,12,0.62,1,2,1
8,8,0.658,5,9,1
11,11,0.65,3,11,1
12,12,0.95,5,13,1
11,11,0.98,1,2,1
11,11,0.926,1,5,1
12,12,0.779,3,5,1
11,12,0.92,3,8,1
10,10,0.733,5,8,1
12,12,0.94,4,8,1
10,11,0.98,6,2,1
12,12,0.95,3,2,1
11,11,0.769,2,2,1
11,12,0.82,1,9,1
11,11,0.991,1,2,1
10,10,0.762,6,16,1
10,11,1.0,6,13,1
12,12,0.771,1,5,1
10,10,0.792,2,6,1
11,11,0.928,5,6,1
12,12,0.46,4,11,1
12,12,0.974,1,2,1
9,9,0.61,1,2,1
9,9,0.73,3,2,1
10,10,0.795,2,2,1
11,11,0.75,4,3,1
11,12,0.895,1,10,1
9,9,0.47,1,2,1
8,8,0.881,1,9,1
11,11,0.76,2,2,1
11,11,0.67,1,4,1
12,12,0.97,4,7,1
12,12,0.684,5,12,1
10,10,0.6,3,2,1
11,11,0.87,2,2,1
10,11,0.79,8,13,1
12,12,0.752,1,2,1
10,10,0.99,3,6,1
10,10,0.92,4,6,1
11,11,0.78,1,2,1
10,10,0.87,1,15,1
9,9,0.78,1,5,1
11,11,0.81,3,14,1
11,11,0.97,3,10,1
10,10,0.8,1,4,1
12,12,0.692,2,3,1
12,12,0.63,2,2,1
9,9,0.988,2,3,1
12,12,0.981,1,2,1
12,12,0.7,1,5,1
8,8,0.49,4,4,1
10,11,0.95,5,11,1
10,10,0.474,1,9,1
10,10,0.91,8,2,1
11,11,0.5,2,7,1
12,12,0.97,1,2,1
12,12,0.6,1,2,1
9,9,0.88,3,9,1
10,10,0.97,6,4,1
10,10,0.987,1,2,1
8,8,0.76,4,2,1
9,11,0.84,8,12,1
11,11,0.742,1,5,1
11,11,0.8,1,3,1
10,10,0.79,2,4,1
12,12,0.87,1,5,1
11,11,0.855,2,2,1
8,8,0.815,3,6,1
12,12,0.58,1,12,1
11,11,0.868,1,2,1
9,9,0.65,6,12,1
10,12,0.91,8,4,1
10,10,0.68,1,2,1
11,11,0.88,1,7,1
8,8,0.79,6,6,1
11,12,0.73,5,2,1
10,10,0.62,5,3,1
8,8,0.655,1,4,1
10,10,0.78,7,14,1
12,12,0.59,1,5,1
10,12,0.73,4,14,1
12,12,0.909,2,5,1
12,12,0.85,3,3,1
9,9,0.88,3,9,1
12,12,0.856,1,2,1
12,12,0.92,5,4,1
9,9,0.894,5,9,1
9,12,0.917,5,14,1
9,10,0.942,4,12,1
11,12,0.62,4,2,1
10,10,0.807,1,5,1
11,12,0.735,4,9,1
9,9,0.75,3,7,1
10,10,0.936,3,7,1
11,11,0.741,1,5,1
12,12,0.91,1,2,1
10,10,0.834,5,11,1
9,9,0.9,2,2,1
9,9,0.87,2,2,1
