actual_depth,max_depth,max_features,min_samples_leaf,min_samples_split,random_state
1,7,0.797,5,10,1
8,10,0.34,1,2,1
4,9,0.659,2,2,1
2,2,0.34,3,6,1
5,10,0.01,1,4,1
4,4,0.608,3,5,1
4,8,0.81,1,6,1
2,6,0.83,4,6,1
8,11,0.638,1,2,1
5,7,0.44,2,2,1
2,6,0.548,3,9,1
4,5,1.0,2,4,1
5,5,0.78,2,2,1
3,11,0.088,2,5,1
2,12,0.99,5,9,1
2,7,0.851,3,11,1
3,12,0.58,3,6,1
3,5,0.817,2,11,1
2,2,0.951,2,8,1
3,9,0.75,2,7,1
7,8,0.38,1,2,1
1,1,0.699,2,11,1
1,1,0.44,1,5,1
2,2,0.79,3,7,1
6,6,0.88,1,2,1
4,6,0.9,2,2,1
3,6,1.0,3,6,1
3,5,0.497,1,11,1
3,3,0.778,1,5,1
4,4,0.67,1,4,1
6,7,0.75,1,3,1
2,2,0.146,1,5,1
2,3,0.802,4,7,1
2,3,0.49,3,10,1
3,6,0.627,3,4,1
1,4,0.66,8,6,1
7,11,0.3,1,3,1
1,1,0.774,1,11,1
6,11,0.021,1,2,1
2,2,0.244,2,2,1
2,10,0.863,4,6,1
3,3,0.353,1,2,1
2,6,0.363,4,10,1
5,9,0.885,1,5,1
3,3,0.458,2,3,1
4,7,0.6,1,7,1
1,1,0.76,4,2,1
6,10,0.177,1,2,1
3,8,0.82,1,10,1
7,8,0.829,1,2,1
1,1,0.756,3,2,1
1,1,0.782,2,4,1
1,3,0.274,5,2,1
3,11,0.781,1,6,1
3,12,1.0,1,7,1
5,5,0.161,1,2,1
4,4,0.437,1,5,1
1,1,0.05,2,2,1
2,12,0.781,2,9,1
2,3,0.271,4,10,1
