actual_depth,max_depth,max_features,min_samples_leaf,min_samples_split,random_state
0,15,0.464,19,17,1
8,10,0.657,1,2,1
2,44,0.986,1,16,1
5,7,0.101,1,4,1
7,28,0.575,1,2,1
7,14,0.251,1,3,1
2,31,0.214,1,13,1
9,37,0.73,1,2,1
1,25,0.638,7,4,1
7,50,0.01,1,4,1
3,29,0.588,4,10,1
6,15,0.7,1,5,1
6,41,0.32,2,2,1
2,7,0.707,1,13,1
4,45,0.123,3,8,1
2,49,0.574,8,10,1
5,5,0.198,1,2,1
5,41,1.0,2,4,1
6,19,0.03,1,4,1
1,1,0.935,1,6,1
2,48,0.56,5,10,1
1,9,0.49,8,2,1
3,3,1.0,3,8,1
2,6,0.98,3,14,1
2,13,0.677,3,12,1
4,44,0.01,1,7,1
7,12,0.696,1,3,1
8,13,0.52,1,4,1
2,22,0.44,8,16,1
3,48,0.405,3,9,1
3,5,0.161,2,10,1
4,33,0.745,3,11,1
3,14,0.472,4,9,1
3,38,0.938,4,3,1
5,23,0.187,1,8,1
3,8,0.254,1,8,1
3,5,0.544,4,8,1
6,18,1.0,1,5,1
4,48,0.048,3,8,1
5,46,0.26,1,5,1
2,4,0.65,8,11,1
3,17,0.61,5,6,1
3,12,0.573,1,9,1
2,41,0.564,5,10,1
5,32,0.11,2,2,1
7,24,0.08,1,2,1
6,40,0.53,1,7,1
9,39,1.0,1,2,1
2,10,0.749,6,3,1
4,24,0.33,1,12,1
2,2,0.385,1,2,1
5,38,0.01,2,4,1
6,50,1.0,1,5,1
6,34,1.0,1,6,1
3,14,0.432,4,4,1
5,5,0.157,1,2,1
2,19,0.34,5,17,1
2,37,0.954,6,6,1
7,44,0.55,1,4,1
2,45,0.795,4,17,1
