actual_depth,max_depth,max_features,min_samples_leaf,min_samples_split,random_state
4,49,0.945,1,6,1
4,16,0.46,1,5,1
5,40,0.859,1,4,1
3,7,0.663,3,14,1
3,3,0.92,1,3,1
8,46,0.96,1,2,1
2,20,0.918,7,3,1
3,17,0.591,5,4,1
4,45,0.579,3,4,1
4,34,0.43,3,5,1
4,50,0.01,2,2,1
6,16,0.61,1,3,1
4,49,0.902,3,9,1
2,30,0.01,3,10,1
4,26,0.862,1,5,1
4,33,0.952,3,6,1
5,13,0.607,3,3,1
3,38,0.955,1,7,1
3,16,0.96,3,3,1
3,24,0.67,1,7,1
3,38,0.481,4,9,1
3,39,0.819,5,4,1
3,16,0.607,1,7,1
4,43,0.55,1,6,1
4,18,0.953,2,7,1
3,18,0.648,3,11,1
6,32,0.64,2,2,1
5,36,0.82,1,4,1
5,39,0.905,2,2,1
5,25,0.749,1,6,1
4,12,0.69,2,6,1
2,25,0.932,1,12,1
2,36,0.63,3,13,1
4,4,0.93,1,2,1
4,33,0.61,4,7,1
6,23,0.984,1,2,1
2,10,0.023,6,10,1
3,42,0.917,5,8,1
8,32,0.6,1,2,1
4,35,0.838,1,7,1
3,9,0.619,1,9,1
7,25,0.701,1,2,1
4,4,0.93,2,7,1
2,50,0.58,6,15,1
7,23,0.69,1,3,1
2,23,0.941,5,12,1
3,41,0.494,3,6,1
3,34,0.65,6,5,1
2,35,0.157,4,11,1
4,5,0.97,3,6,1
3,30,0.655,6,8,1
4,32,0.86,1,6,1
5,46,0.61,1,4,1
7,17,0.92,1,2,1
9,21,0.681,1,2,1
2,4,0.667,1,13,1
1,48,0.572,9,17,1
4,24,0.69,4,9,1
4,48,0.912,2,7,1
7,47,0.78,1,2,1
