actual_depth,max_depth,max_features,min_samples_leaf,min_samples_split,random_state
1,1,0.799,7,2,1
3,27,0.611,12,2,1
5,7,0.03,6,18,1
3,3,0.24,3,11,1
9,19,0.1,3,2,1
6,28,0.27,4,6,1
7,16,1.0,6,3,1
2,34,0.69,15,17,1
2,2,0.731,18,13,1
7,8,1.0,2,12,1
5,39,0.127,8,13,1
4,48,0.35,12,2,1
5,11,0.573,5,17,1
4,47,0.098,8,8,1
7,32,0.62,1,20,1
4,47,0.514,9,11,1
4,4,0.162,11,16,1
2,22,0.725,18,7,1
5,9,0.926,5,13,1
3,38,0.757,11,15,1
8,24,0.01,1,16,1
2,9,0.043,18,17,1
9,45,0.638,3,11,1
10,30,0.07,1,20,1
5,21,0.01,5,15,1
4,24,0.56,7,16,1
3,22,0.785,14,13,1
4,30,0.77,8,20,1
5,12,0.59,4,18,1
3,19,0.377,14,18,1
6,18,0.39,5,6,1
6,38,0.069,6,16,1
5,47,0.192,9,8,1
2,2,0.01,5,19,1
1,1,0.287,7,19,1
3,26,0.848,9,5,1
6,21,0.01,2,14,1
1,1,1.0,9,14,1
4,35,0.573,9,4,1
4,38,0.43,11,19,1
15,30,0.229,1,6,1
3,36,0.79,13,8,1
