actual_depth,max_depth,max_features,min_samples_leaf,min_samples_split,random_state
5,18,0.435,7,4,1
2,7,0.998,18,19,1
3,3,0.336,1,2,1
6,23,0.463,5,2,1
7,41,0.205,4,6,1
6,25,0.26,6,9,1
4,32,0.7,9,12,1
10,29,0.93,2,2,1
3,38,0.57,13,13,1
3,8,0.531,14,9,1
2,2,0.01,4,4,1
6,30,0.804,4,16,1
12,21,0.622,1,3,1
6,24,0.011,6,17,1
4,7,0.95,10,15,1
7,27,0.151,1,19,1
1,1,0.7,6,4,1
4,17,1.0,8,18,1
8,18,0.757,3,4,1
4,31,0.79,11,2,1
10,22,0.197,1,16,1
3,30,0.02,11,15,1
4,23,0.929,6,18,1
6,14,0.323,2,16,1
8,22,0.01,4,2,1
4,11,0.58,8,18,1
12,22,0.602,1,6,1
4,9,0.912,9,8,1
3,9,0.528,12,19,1
4,26,0.817,8,13,1
6,8,0.434,2,8,1
1,1,0.474,1,18,1
5,8,0.42,5,2,1
3,8,0.332,13,12,1
7,41,0.811,5,2,1
7,9,0.371,4,6,1
5,39,0.6,3,20,1
5,11,0.56,3,19,1
14,37,0.792,1,2,1
6,13,0.493,6,8,1
3,33,0.735,11,11,1
6,9,0.108,2,18,1
4,6,0.64,11,17,1
5,41,0.663,7,16,1
5,8,0.69,3,17,1
5,20,0.995,5,19,1
5,5,0.032,1,3,1
3,39,0.533,16,12,1
5,5,0.01,1,8,1
4,28,0.51,8,10,1
1,1,0.35,3,11,1
3,3,0.901,5,13,1
1,1,0.516,8,11,1
4,21,0.344,9,13,1
10,48,0.089,2,4,1
5,50,0.28,10,7,1
2,2,1.0,2,10,1
3,27,0.449,15,15,1
2,2,0.68,4,20,1
3,36,0.888,11,19,1
6,40,0.148,4,13,1
2,2,0.63,12,18,1
8,19,0.2,1,15,1
1,1,0.57,3,16,1
1,1,0.751,2,17,1
3,46,1.0,11,16,1
3,3,0.019,4,8,1
3,29,0.595,14,19,1
5,16,0.86,7,14,1
4,18,0.536,11,13,1
5,9,0.455,7,6,1
5,10,0.63,3,20,1
7,28,1.0,4,6,1
4,16,0.55,10,3,1
4,41,0.457,4,19,1
6,19,0.896,5,9,1
15,33,0.267,1,3,1
3,40,0.96,11,9,1
5,13,0.478,9,15,1
6,47,0.178,7,17,1
3,38,0.55,11,14,1
1,1,0.717,6,10,1
4,36,0.144,8,13,1
3,13,0.74,8,19,1
7,18,0.969,1,16,1
4,38,0.43,11,12,1
3,4,0.787,12,3,1
2,3,0.239,18,4,1
3,3,0.83,9,17,1
7,7,0.1,3,2,1
8,11,0.217,3,2,1
6,19,0.21,4,12,1
2,2,0.135,20,10,1
3,42,0.548,12,6,1
1,1,0.8,1,2,1
4,10,0.704,10,15,1
2,21,0.549,19,8,1
4,11,0.66,6,19,1
6,37,0.71,4,13,1
4,28,0.436,11,18,1
7,12,0.217,3,11,1
3,29,0.61,13,9,1
3,39,0.664,13,13,1
2,2,1.0,2,10,1
5,13,0.113,8,17,1
6,6,0.7,1,17,1
5,25,0.527,6,4,1
1,41,0.333,18,5,1
2,43,0.128,20,15,1
5,50,0.71,1,20,1
8,23,0.4,1,6,1
3,42,0.455,13,14,1
3,12,0.777,12,12,1
4,45,0.527,7,20,1
6,36,0.2,6,4,1
2,11,0.122,20,10,1
7,10,0.818,4,10,1
2,2,0.26,1,18,1
7,8,1.0,1,16,1
7,25,0.53,2,13,1
4,22,0.892,9,4,1
6,48,0.915,2,15,1
3,33,0.811,9,11,1
4,24,0.54,9,9,1
2,28,0.721,17,14,1
7,19,0.301,3,12,1
4,45,0.089,10,6,1
3,31,0.85,11,7,1
3,3,0.034,4,20,1
6,45,0.715,1,19,1
5,45,0.36,4,8,1
4,4,0.67,1,9,1
1,1,0.58,3,18,1
4,24,0.116,8,20,1
7,7,0.27,1,5,1
4,31,0.525,7,2,1
5,42,0.943,6,11,1
5,5,0.66,1,20,1
3,36,0.612,12,5,1
1,1,0.273,5,19,1
4,30,0.68,10,9,1
4,8,0.633,13,7,1
5,34,0.298,4,14,1
4,35,0.713,10,4,1
7,42,0.639,3,10,1
5,5,0.527,6,19,1
11,27,0.174,1,12,1
4,20,0.62,10,4,1
3,12,0.55,14,11,1
1,1,0.635,14,16,1
3,27,0.579,13,5,1
6,45,0.54,5,2,1
8,16,0.16,1,19,1
8,37,0.419,2,4,1
1,1,0.87,6,13,1
3,9,0.686,16,5,1
3,50,0.66,13,19,1
4,29,0.66,10,11,1
