actual_depth,max_depth,max_features,min_samples_leaf,min_samples_split,random_state
7,47,0.468,5,6,1
9,30,0.582,3,2,1
6,12,0.68,3,20,1
8,18,0.662,1,17,1
7,46,0.99,7,7,1
5,40,0.778,13,7,1
7,38,0.98,6,2,1
6,46,0.58,9,13,1
7,24,0.739,1,20,1
5,13,0.97,12,5,1
5,11,0.394,12,16,1
8,25,0.753,5,12,1
9,28,0.69,1,8,1
8,49,0.81,2,8,1
8,8,0.711,3,2,1
13,37,0.98,1,5,1
8,10,0.88,1,20,1
9,30,0.5,1,11,1
8,8,0.69,3,9,1
7,7,1.0,1,4,1
9,16,0.674,1,12,1
5,5,0.85,1,14,1
9,13,0.961,3,2,1
7,35,0.989,5,2,1
10,12,0.674,3,5,1
15,22,0.752,1,2,1
5,24,0.892,16,13,1
7,7,0.971,1,6,1
4,14,0.38,18,3,1
11,38,0.66,3,6,1
9,32,0.75,3,2,1
8,13,0.98,2,14,1
8,19,0.65,1,18,1
7,7,0.835,4,17,1
9,14,0.59,5,2,1
11,50,0.83,4,2,1
8,30,0.61,4,14,1
13,25,0.83,1,6,1
4,42,0.888,18,16,1
6,12,0.6,4,15,1
7,26,0.803,5,13,1
7,40,0.906,5,7,1
14,43,0.38,1,3,1
10,50,0.82,2,5,1
6,35,0.99,6,16,1
8,23,0.97,1,17,1
6,31,0.77,6,13,1
7,32,0.481,6,3,1
10,13,0.858,3,5,1
10,46,0.44,5,13,1
5,15,0.949,13,20,1
12,31,0.53,2,3,1
12,29,0.92,1,4,1
7,17,0.43,7,11,1
6,6,0.92,3,8,1
6,37,0.49,10,14,1
9,9,0.637,2,6,1
16,32,0.68,1,2,1
8,35,0.441,5,9,1
11,11,0.39,1,8,1
15,30,0.71,1,2,1
7,12,0.912,7,2,1
11,26,0.647,2,7,1
12,18,0.63,1,8,1
8,38,0.87,1,14,1
9,33,0.815,3,5,1
7,26,0.345,7,2,1
6,38,0.61,6,16,1
11,20,0.6,2,6,1
10,13,0.975,3,6,1
11,22,0.641,1,8,1
7,39,0.57,7,13,1
10,40,0.926,3,5,1
7,19,0.875,5,12,1
12,14,0.944,1,9,1
11,42,0.699,1,15,1
11,48,0.8,1,6,1
3,18,0.9,20,8,1
9,48,0.52,1,11,1
4,4,0.51,5,14,1
8,45,0.58,2,6,1
8,37,0.81,2,11,1
8,48,0.747,2,13,1
9,46,0.67,4,5,1
8,17,0.953,1,15,1
14,44,0.865,1,3,1
8,50,0.47,4,14,1
9,27,0.492,3,9,1
6,50,0.4,8,13,1
10,42,0.85,3,2,1
7,29,0.933,7,18,1
15,29,0.919,1,5,1
6,6,0.936,2,10,1
8,8,0.72,1,7,1
9,34,0.724,3,11,1
6,45,0.768,9,17,1
10,21,0.52,1,11,1
5,48,0.96,9,5,1
9,30,0.52,4,2,1
6,29,0.89,10,6,1
8,11,0.95,2,15,1
9,30,0.96,1,12,1
11,36,0.671,2,5,1
14,46,0.311,1,5,1
6,13,0.867,11,3,1
7,13,0.99,5,17,1
8,33,0.358,5,2,1
9,34,0.555,3,8,1
7,12,0.437,6,3,1
6,32,0.78,8,2,1
8,37,0.85,3,14,1
12,40,0.421,1,3,1
12,30,0.86,2,8,1
4,8,0.95,16,2,1
7,36,0.663,3,19,1
4,4,0.788,11,10,1
5,22,0.87,14,7,1
11,50,0.57,1,12,1
5,50,0.614,12,20,1
10,43,0.875,2,9,1
7,8,0.059,3,2,1
7,30,0.36,7,3,1
6,15,0.89,8,14,1
4,34,0.514,12,2,1
6,37,0.96,7,16,1
6,34,0.745,6,9,1
8,25,0.98,6,9,1
8,27,0.826,5,3,1
9,9,0.529,1,4,1
7,20,0.41,6,10,1
9,14,0.732,4,2,1
12,18,0.468,1,6,1
5,48,0.451,15,6,1
3,50,0.855,20,12,1
11,12,0.85,2,7,1
7,14,0.85,6,3,1
15,41,0.73,1,2,1
8,40,0.65,4,5,1
9,14,0.53,3,8,1
9,9,0.63,2,10,1
9,13,0.912,1,18,1
6,20,0.94,9,14,1
9,44,0.54,1,11,1
8,36,0.43,4,15,1
3,32,0.858,19,18,1
5,47,0.49,11,18,1
11,27,0.789,1,6,1
9,23,0.55,4,2,1
4,26,0.939,17,18,1
4,6,0.96,17,9,1
7,14,0.853,6,10,1
12,25,0.61,1,9,1
5,24,0.421,10,4,1
11,49,0.729,2,5,1
8,13,0.89,1,12,1
6,6,0.387,2,3,1
6,23,0.564,1,17,1
6,6,1.0,8,18,1
5,22,0.942,12,6,1
9,39,0.57,1,12,1
15,30,0.82,1,2,1
7,14,0.51,9,15,1
8,34,0.936,4,14,1
8,25,0.899,4,18,1
7,50,0.82,5,8,1
5,11,0.59,12,2,1
8,27,0.73,3,5,1
10,43,0.536,3,8,1
7,50,0.734,3,16,1
7,50,0.66,5,11,1
10,23,0.78,1,11,1
9,9,0.591,3,2,1
6,18,0.69,1,15,1
8,39,0.85,4,6,1
5,5,0.73,7,12,1
8,13,0.895,5,12,1
5,35,0.74,9,15,1
5,14,0.941,12,9,1
7,23,0.9,6,13,1
7,18,0.72,7,12,1
6,39,0.41,5,16,1
9,24,0.77,2,8,1
9,39,0.93,4,6,1
7,34,1.0,5,12,1
6,8,0.69,6,11,1
12,26,0.621,2,2,1
5,35,0.854,13,5,1
7,7,0.99,2,15,1
11,47,0.64,3,4,1
6,29,0.85,6,16,1
9,29,0.809,2,13,1
6,6,0.98,3,2,1
10,23,0.76,1,9,1
11,16,0.83,1,7,1
7,16,1.0,6,6,1
14,37,0.39,2,2,1
7,34,0.767,1,16,1
10,25,0.91,2,6,1
6,8,0.969,4,18,1
7,19,0.46,5,10,1
