actual_depth,max_depth,max_features,min_samples_leaf,min_samples_split,random_state
3,33,0.908,8,12,1
1,44,0.356,19,3,1
8,8,0.452,1,5,1
1,15,1.0,13,9,1
4,4,0.919,1,19,1
11,20,0.617,1,4,1
4,46,0.422,2,20,1
1,1,0.56,2,2,1
3,32,0.063,1,18,1
6,46,0.47,3,5,1
12,36,0.858,1,3,1
1,1,0.01,1,4,1
11,50,0.879,1,3,1
6,31,0.81,1,19,1
7,25,0.92,2,10,1
8,24,0.513,3,5,1
7,50,0.231,2,14,1
4,4,0.806,4,5,1
1,1,0.856,11,14,1
13,25,0.598,1,7,1
6,42,0.71,1,20,1
9,23,0.39,2,5,1
5,22,0.173,3,2,1
3,40,0.622,7,20,1
10,39,0.73,2,4,1
12,26,0.79,2,3,1
7,17,0.662,3,10,1
4,36,0.16,3,11,1
1,36,0.88,14,18,1
1,1,0.98,12,18,1
5,9,0.654,4,12,1
7,37,0.85,1,8,1
9,9,0.61,1,2,1
1,1,0.913,1,10,1
4,34,0.61,3,11,1
14,50,0.468,1,2,1
8,36,0.801,3,8,1
9,39,0.952,1,4,1
3,3,0.89,1,2,1
1,32,0.568,18,12,1
7,42,0.91,3,2,1
1,1,0.741,1,19,1
9,9,0.356,1,2,1
9,31,0.14,1,3,1
1,5,0.765,15,12,1
5,28,0.963,5,4,1
10,50,0.501,1,8,1
1,1,0.4,2,6,1
1,19,0.097,14,11,1
1,1,0.53,8,2,1
1,24,0.753,15,6,1
11,50,1.0,1,3,1
9,45,0.64,1,6,1
16,50,0.44,1,2,1
10,40,0.894,1,3,1
1,1,0.601,3,9,1
9,32,0.878,1,7,1
3,18,0.336,8,8,1
1,1,0.718,1,5,1
11,12,0.969,1,5,1
4,29,0.46,1,12,1
9,43,0.86,1,9,1
1,1,0.727,6,5,1
4,32,0.922,3,15,1
6,25,0.883,1,11,1
4,44,0.95,5,2,1
8,18,0.292,2,10,1
8,39,0.01,1,9,1
6,23,0.61,1,15,1
4,10,0.24,1,12,1
3,50,0.97,2,17,1
9,44,0.322,2,6,1
1,1,0.66,5,2,1
2,50,0.457,12,3,1
7,13,0.93,1,12,1
8,29,0.76,2,8,1
11,11,0.91,1,6,1
1,1,0.849,4,10,1
10,36,0.95,1,7,1
12,35,1.0,1,2,1
9,35,0.93,1,7,1
6,36,0.52,1,17,1
7,21,0.828,3,11,1
1,1,0.32,7,5,1
3,3,0.74,2,2,1
7,31,0.959,3,7,1
7,7,0.48,1,10,1
1,1,0.61,1,2,1
10,10,0.65,1,2,1
10,19,0.912,1,7,1
6,25,0.164,2,6,1
9,46,0.938,2,7,1
4,15,0.33,1,16,1
7,16,0.56,3,10,1
10,10,0.782,2,2,1
8,8,0.01,1,5,1
11,22,0.347,1,2,1
7,17,0.833,1,8,1
7,44,0.65,1,13,1
8,14,0.885,2,8,1
6,45,0.913,1,15,1
9,9,0.72,1,2,1
7,18,0.01,1,7,1
11,16,0.62,1,3,1
8,45,0.235,1,3,1
7,15,0.873,1,15,1
6,6,0.96,1,7,1
4,29,0.37,4,16,1
1,1,0.64,1,6,1
3,25,0.478,5,17,1
3,35,0.437,5,17,1
5,45,0.54,2,19,1
7,25,0.337,1,14,1
1,1,0.297,1,11,1
5,38,0.89,3,17,1
11,44,0.94,1,6,1
11,38,0.902,1,6,1
10,40,0.91,2,4,1
7,8,0.953,2,8,1
2,27,0.35,10,18,1
3,5,0.578,8,4,1
4,27,0.939,4,9,1
7,27,0.949,1,14,1
4,4,0.03,1,2,1
5,42,0.904,4,11,1
9,40,0.982,1,11,1
1,1,0.739,1,18,1
1,5,0.533,19,14,1
6,8,0.19,1,9,1
8,36,0.961,1,13,1
3,43,0.3,5,14,1
1,1,0.78,5,19,1
11,24,0.6,1,6,1
3,3,0.978,3,2,1
9,50,0.872,1,7,1
4,20,0.53,5,8,1
3,18,0.522,7,20,1
8,8,0.59,1,2,1
5,15,0.9,2,20,1
6,50,0.471,1,15,1
7,31,0.01,2,4,1
4,17,0.573,4,18,1
1,21,0.646,17,15,1
9,46,0.574,2,4,1
2,2,0.382,1,13,1
3,6,0.633,8,17,1
1,1,0.63,1,4,1
12,50,0.86,1,2,1
1,1,0.79,4,2,1
7,12,0.01,2,2,1
6,44,0.89,4,2,1
14,14,0.46,1,2,1
9,46,0.799,3,6,1
11,38,0.145,1,2,1
2,37,1.0,10,3,1
8,45,0.365,3,2,1
4,27,0.35,3,16,1
5,47,0.8,6,6,1
2,2,0.55,1,6,1
5,34,0.355,3,18,1
4,38,0.754,6,5,1
6,48,0.652,3,10,1
4,40,0.294,1,20,1
4,33,0.935,5,2,1
6,7,0.32,1,17,1
12,16,0.874,1,2,1
3,6,0.53,5,19,1
7,13,0.59,3,6,1
6,44,0.98,1,19,1
10,16,0.975,1,4,1
5,49,0.185,1,10,1
3,20,0.7,5,17,1
3,44,0.69,8,15,1
4,19,0.99,1,20,1
3,36,0.833,8,15,1
5,27,0.785,4,11,1
7,10,0.81,3,7,1
1,1,0.81,4,9,1
7,48,0.385,1,12,1
6,12,0.85,1,17,1
8,10,0.344,1,9,1
5,5,0.765,1,12,1
12,50,0.89,1,2,1
1,1,0.643,8,12,1
4,24,0.28,1,13,1
10,44,0.103,1,2,1
4,4,0.79,2,7,1
7,19,0.634,1,19,1
12,41,0.601,1,4,1
4,37,0.626,7,3,1
3,3,0.71,1,4,1
7,37,0.448,1,16,1
4,4,0.04,1,11,1
5,5,0.77,1,9,1
3,14,0.03,5,18,1
7,24,0.02,1,6,1
2,46,0.15,10,8,1
1,1,0.913,1,2,1
1,1,0.903,5,10,1
8,39,0.871,1,9,1
