actual_depth,max_depth,max_features,min_samples_leaf,min_samples_split,random_state
3,8,0.27,1,5,1
5,33,0.119,1,3,1
0,25,0.015,8,7,1
0,49,0.11,8,7,1
6,36,0.082,1,2,1
0,31,0.879,5,18,1
2,31,0.476,3,3,1
3,5,0.706,2,2,1
1,18,0.6,3,2,1
4,50,0.249,1,4,1
2,43,0.613,1,6,1
3,5,1.0,2,2,1
0,8,0.229,2,13,1
1,1,0.718,1,2,1
6,46,0.683,1,2,1
5,47,0.718,1,2,1
3,32,0.01,1,3,1
0,16,0.428,10,9,1
2,35,0.219,2,5,1
2,17,0.802,3,6,1
0,39,0.816,16,11,1
3,46,0.646,1,5,1
2,4,0.42,3,3,1
3,38,0.09,2,3,1
0,48,0.289,7,7,1
2,15,0.86,2,7,1
4,4,0.486,1,3,1
2,48,0.383,3,4,1
3,15,0.123,1,6,1
0,6,0.124,18,5,1
5,5,0.14,1,3,1
2,22,0.91,3,2,1
0,33,0.56,18,15,1
1,50,0.7,3,5,1
4,34,0.271,1,5,1
8,47,0.567,1,2,1
5,45,0.885,1,3,1
2,2,0.073,2,3,1
3,6,0.072,1,7,1
6,30,0.467,1,2,1
0,30,0.384,10,2,1
0,15,0.189,10,18,1
3,9,0.755,2,2,1
0,17,0.826,14,2,1
2,14,0.788,1,7,1
5,32,0.11,1,2,1
0,13,0.7,15,2,1
0,44,0.239,3,12,1
3,25,0.088,1,6,1
1,22,0.621,5,6,1
2,11,0.542,3,6,1
4,43,0.143,1,6,1
3,38,1.0,1,5,1
0,5,0.387,9,18,1
5,50,0.71,1,2,1
6,15,0.61,1,2,1
7,16,0.613,1,2,1
1,33,0.278,3,6,1
0,19,0.63,13,12,1
3,24,0.01,1,7,1
