actual_depth,max_depth,max_features,min_samples_leaf,min_samples_split,random_state
13,31,0.65,1,2,1
5,46,0.57,3,11,1
8,24,0.58,2,8,1
6,46,0.648,1,14,1
4,29,0.75,5,13,1
3,26,0.593,6,17,1
4,25,0.989,7,6,1
11,38,0.835,1,2,1
10,25,0.77,1,4,1
4,40,0.82,6,2,1
10,10,0.905,1,4,1
4,27,0.72,7,2,1
4,6,0.628,7,15,1
1,2,0.097,19,17,1
7,25,0.86,3,2,1
10,37,0.662,1,5,1
6,19,0.65,1,15,1
1,1,0.658,8,15,1
3,33,0.291,7,17,1
2,26,0.488,11,12,1
6,21,0.479,1,10,1
9,49,0.35,1,4,1
1,32,0.206,18,14,1
4,12,0.58,7,2,1
3,43,0.698,11,13,1
4,5,0.58,6,8,1
12,42,0.63,1,2,1
4,22,0.72,5,15,1
4,28,0.592,6,2,1
5,11,0.984,1,14,1
5,7,0.97,7,6,1
6,45,0.24,3,2,1
4,4,0.764,1,14,1
2,50,0.51,11,13,1
7,31,0.72,1,11,1
6,35,0.33,1,11,1
6,37,0.535,4,2,1
4,16,0.68,4,14,1
3,41,0.582,10,9,1
5,14,0.54,5,6,1
6,16,0.4,1,9,1
4,41,0.23,6,8,1
2,32,0.459,11,14,1
7,21,0.781,2,9,1
7,40,0.684,1,10,1
4,12,0.83,8,12,1
9,33,0.57,1,4,1
5,46,0.64,7,7,1
3,25,0.584,8,4,1
4,25,0.956,6,7,1
7,19,0.359,2,3,1
5,50,0.98,5,6,1
7,40,0.731,3,4,1
1,1,0.818,1,12,1
8,20,0.896,1,6,1
12,27,0.8,1,2,1
4,19,0.798,4,18,1
10,49,0.863,2,2,1
6,45,0.53,2,11,1
7,43,0.58,1,8,1
6,37,0.886,1,10,1
4,15,0.76,6,7,1
4,30,0.8,5,17,1
5,15,0.14,3,4,1
5,23,0.73,5,2,1
5,5,0.561,1,3,1
12,20,0.743,1,2,1
4,46,0.611,8,16,1
7,45,0.963,3,2,1
6,41,0.752,4,12,1
7,28,0.76,4,7,1
8,13,0.36,1,6,1
7,42,0.678,2,7,1
3,3,0.963,5,17,1
5,21,0.15,1,13,1
11,22,0.51,1,2,1
4,23,0.722,6,10,1
5,36,0.75,4,16,1
10,32,0.37,1,4,1
4,10,0.7,4,14,1
5,38,0.86,5,8,1
3,4,0.095,5,17,1
4,14,0.828,6,6,1
3,27,0.165,4,13,1
9,18,0.99,2,2,1
6,47,0.91,4,2,1
4,11,0.63,6,13,1
4,6,0.53,6,15,1
6,15,0.64,3,10,1
4,13,0.603,6,6,1
8,12,0.992,2,4,1
5,7,0.526,1,14,1
5,16,0.702,4,12,1
3,11,0.96,5,18,1
7,15,0.251,1,7,1
4,25,0.364,5,11,1
4,29,0.945,8,8,1
5,46,0.919,1,16,1
4,46,0.88,7,2,1
6,33,0.734,4,4,1
4,11,0.629,7,11,1
5,32,0.9,4,4,1
5,5,0.58,1,5,1
5,48,0.787,1,18,1
6,9,0.563,4,2,1
4,48,0.772,5,14,1
5,43,0.55,4,11,1
7,14,0.881,1,8,1
6,29,0.965,4,4,1
4,4,0.25,2,2,1
4,25,0.818,7,16,1
2,30,0.886,14,17,1
6,34,0.63,4,2,1
6,37,0.556,4,4,1
5,12,0.79,5,11,1
5,5,0.65,1,12,1
5,29,0.838,5,2,1
4,36,0.71,8,8,1
5,28,0.95,4,9,1
5,20,0.59,5,2,1
6,37,0.99,1,11,1
4,50,0.236,2,17,1
7,33,0.45,1,9,1
7,47,0.66,3,4,1
6,24,0.37,5,2,1
3,10,0.09,3,18,1
6,16,0.63,5,7,1
6,31,0.695,3,3,1
8,40,0.92,1,7,1
7,17,0.76,1,8,1
9,41,0.57,1,5,1
5,22,0.607,5,7,1
5,45,0.96,5,16,1
8,38,0.598,1,5,1
10,49,1.0,1,4,1
3,3,0.71,4,20,1
5,5,0.7,2,7,1
4,42,0.598,6,12,1
5,43,0.972,3,18,1
4,31,0.68,7,7,1
6,21,0.927,1,14,1
5,33,0.612,6,2,1
6,46,0.54,2,11,1
4,4,0.84,4,17,1
5,32,0.751,6,13,1
5,34,0.64,5,4,1
7,26,0.38,1,5,1
4,27,0.95,7,2,1
5,31,0.736,4,13,1
6,36,0.715,1,13,1
4,23,0.79,5,11,1
6,11,0.706,4,6,1
13,50,0.83,1,2,1
5,30,0.72,6,2,1
5,23,0.59,1,17,1
9,10,0.779,1,5,1
7,37,0.775,3,4,1
8,48,0.54,1,6,1
6,6,0.66,1,9,1
4,22,0.615,5,14,1
3,43,0.99,8,13,1
4,5,0.852,6,15,1
8,27,0.61,1,7,1
12,37,0.586,1,2,1
7,47,0.49,1,10,1
3,15,0.762,8,9,1
4,32,0.62,7,12,1
6,22,0.89,2,10,1
4,24,0.01,8,6,1
5,48,0.97,6,15,1
6,30,0.867,3,2,1
7,30,0.395,3,5,1
6,39,0.88,2,13,1
5,12,0.57,4,12,1
3,13,0.977,9,18,1
3,3,0.67,4,18,1
6,14,0.849,1,11,1
11,20,0.843,2,7,1
3,9,0.58,5,20,1
5,11,0.16,4,10,1
9,48,0.757,1,5,1
4,5,0.593,5,14,1
7,38,0.901,1,10,1
5,25,0.877,5,6,1
4,20,0.591,8,11,1
4,9,0.582,7,12,1
4,26,0.97,6,5,1
4,21,0.89,7,9,1
10,33,0.55,1,4,1
2,30,0.15,12,13,1
6,31,0.845,3,13,1
4,40,0.42,6,11,1
7,32,0.669,3,7,1
6,20,0.17,1,8,1
7,34,0.879,1,7,1
4,18,0.83,5,15,1
11,24,0.79,1,3,1
5,5,0.62,2,2,1
11,49,1.0,1,2,1
7,15,0.636,3,7,1
