actual_depth,max_depth,max_features,min_samples_leaf,min_samples_split,random_state
1,1,0.69,2,8,1
4,49,0.97,2,8,1
2,47,0.16,1,10,1
4,40,0.35,1,7,1
0,41,0.308,1,19,1
4,40,0.69,2,2,1
1,18,0.087,1,11,1
2,6,0.57,5,2,1
2,42,0.601,5,11,1
3,31,0.318,1,10,1
5,38,0.575,2,2,1
4,23,0.73,1,7,1
3,40,0.59,1,6,1
8,29,0.561,1,2,1
3,10,0.61,1,10,1
5,50,0.784,1,5,1
5,8,0.048,1,4,1
4,37,0.2,2,2,1
9,26,0.5,1,2,1
1,1,0.84,4,4,1
5,5,1.0,1,2,1
2,46,0.62,1,9,1
6,30,0.77,1,5,1
2,28,0.501,5,8,1
4,48,0.965,1,11,1
5,32,0.87,2,2,1
2,32,0.74,4,7,1
1,48,0.105,5,8,1
1,1,0.73,1,4,1
1,11,0.103,5,7,1
3,29,0.985,3,3,1
1,1,0.88,1,5,1
4,4,0.45,1,2,1
2,37,0.29,4,9,1
1,1,0.758,3,3,1
1,1,0.548,5,9,1
2,38,0.055,1,8,1
2,39,0.932,4,7,1
4,42,0.533,2,2,1
2,9,0.776,3,11,1
3,28,0.467,1,9,1
9,36,0.84,1,2,1
3,49,0.65,1,6,1
6,13,0.051,1,4,1
7,23,0.01,1,2,1
4,40,0.38,1,7,1
4,47,0.8,1,7,1
3,47,0.43,2,8,1
4,22,0.77,1,8,1
3,36,0.706,2,9,1
3,47,1.0,3,2,1
7,45,0.67,1,3,1
1,31,0.641,6,9,1
8,11,0.51,1,2,1
3,47,0.492,2,6,1
2,15,0.701,5,5,1
2,8,0.844,1,11,1
7,12,0.53,1,2,1
2,3,0.944,2,9,1
4,34,0.8,1,5,1
