actual_depth,max_depth,max_features,min_samples_leaf,min_samples_split,random_state
18,45,0.816,1,2,1
17,23,0.79,1,2,1
10,19,0.92,7,10,1
16,26,0.84,1,5,1
13,19,0.99,1,7,1
14,16,0.714,1,5,1
15,29,0.88,1,3,1
10,47,0.93,4,2,1
15,50,0.82,1,4,1
17,48,0.71,1,2,1
12,47,0.82,2,7,1
12,12,0.876,2,8,1
12,27,0.9,1,10,1
10,10,0.9,1,2,1
13,38,0.872,3,4,1
13,39,0.87,2,2,1
12,14,0.968,4,10,1
18,35,0.34,1,2,1
13,13,0.66,1,6,1
13,49,0.9,3,3,1
13,14,0.95,1,5,1
15,22,0.624,2,2,1
15,21,0.94,1,4,1
11,39,0.983,5,4,1
15,22,0.75,1,7,1
17,21,0.616,1,2,1
14,50,0.87,2,3,1
16,41,0.974,1,3,1
15,25,0.82,2,2,1
14,41,0.85,2,3,1
14,50,0.99,1,4,1
12,21,0.97,1,7,1
18,50,0.82,1,2,1
10,32,0.619,5,19,1
8,8,0.82,1,2,1
15,47,0.55,2,5,1
12,26,0.83,4,6,1
12,26,0.79,4,2,1
12,17,0.94,4,5,1
17,35,0.957,1,2,1
14,39,0.85,1,6,1
