actual_depth,max_depth,max_features,min_samples_leaf,min_samples_split,random_state
16,35,0.757,1,3,1
11,11,0.88,6,10,1
10,25,0.83,7,14,1
13,40,0.524,3,4,1
16,16,0.69,1,2,1
11,39,0.728,6,4,1
14,50,0.6,1,5,1
11,37,0.86,3,6,1
17,33,0.83,1,3,1
13,22,0.58,2,12,1
18,50,0.683,1,3,1
13,33,0.859,3,2,1
11,37,0.97,1,8,1
10,10,0.69,1,2,1
15,37,0.76,2,4,1
10,11,0.668,8,15,1
11,26,0.94,4,8,1
12,50,0.67,3,8,1
18,37,0.87,1,2,1
10,18,0.95,7,4,1
14,20,0.93,2,6,1
16,17,0.979,1,2,1
17,40,0.763,1,4,1
13,17,0.92,1,4,1
16,48,0.76,1,2,1
16,16,0.69,1,2,1
14,20,0.81,3,3,1
17,37,0.91,1,2,1
15,50,0.95,1,3,1
12,22,0.894,4,9,1
11,37,0.382,3,15,1
14,15,0.695,1,5,1
13,29,0.82,1,6,1
12,43,0.93,1,5,1
17,38,0.879,1,2,1
14,22,0.58,1,6,1
12,31,0.85,5,5,1
12,13,0.83,1,12,1
14,36,0.8,3,2,1
11,29,0.945,6,7,1
14,35,0.72,2,8,1
16,36,0.755,1,2,1
11,45,0.71,4,2,1
13,29,0.79,1,4,1
10,30,1.0,5,2,1
12,12,0.89,4,5,1
16,24,0.866,1,2,1
15,42,0.589,1,3,1
14,32,0.66,1,6,1
17,48,0.417,2,5,1
11,42,0.96,4,2,1
12,35,0.777,1,7,1
17,34,0.9,1,2,1
17,26,0.931,1,2,1
11,48,0.94,3,15,1
16,40,0.826,1,2,1
13,28,0.874,1,9,1
11,31,0.85,3,5,1
10,33,0.88,6,15,1
16,32,0.91,1,2,1
13,30,0.772,2,2,1
13,25,0.78,3,2,1
17,29,0.72,1,5,1
15,29,0.64,2,3,1
14,17,0.49,1,7,1
9,9,0.89,1,2,1
14,46,0.84,2,5,1
12,25,0.879,1,7,1
11,24,0.77,6,4,1
15,30,0.83,1,3,1
14,50,0.932,1,6,1
14,49,0.44,1,7,1
10,37,0.92,4,11,1
14,26,0.731,3,2,1
14,27,0.665,2,2,1
14,36,0.812,2,5,1
10,16,0.8,6,15,1
13,13,0.865,1,2,1
12,12,0.56,2,2,1
14,15,0.87,1,7,1
12,25,0.98,3,10,1
11,11,0.88,5,2,1
11,50,0.75,4,13,1
13,36,0.85,2,2,1
15,36,0.61,1,5,1
12,29,0.84,2,8,1
16,24,0.73,1,2,1
14,23,0.83,3,3,1
11,15,0.991,4,6,1
13,50,0.838,1,7,1
10,10,1.0,2,2,1
12,18,0.88,1,7,1
12,34,0.55,5,11,1
17,45,0.92,1,2,1
18,40,0.82,1,2,1
17,18,0.861,1,2,1
15,16,0.97,1,2,1
13,13,0.63,1,5,1
17,48,0.356,2,2,1
17,24,0.88,1,2,1
17,18,0.91,1,2,1
13,45,0.969,1,6,1
16,35,0.868,1,3,1
13,49,0.657,1,8,1
15,50,0.693,1,5,1
16,49,0.9,2,4,1
14,14,0.671,2,4,1
18,50,0.554,1,3,1
12,38,0.878,3,5,1
11,19,0.43,7,12,1
10,50,0.98,3,14,1
15,42,0.88,1,5,1
11,30,0.732,5,9,1
16,29,0.63,1,5,1
18,33,0.56,1,2,1
14,17,0.712,1,5,1
9,9,0.98,1,9,1
13,41,0.786,3,8,1
11,11,1.0,1,2,1
12,14,0.564,2,10,1
15,19,1.0,1,2,1
13,47,0.903,1,6,1
17,17,1.0,1,2,1
12,12,0.938,5,5,1
18,36,0.76,1,2,1
12,39,0.852,4,5,1
15,36,0.636,1,4,1
12,13,0.9,7,8,1
15,37,0.71,1,3,1
12,50,0.87,3,5,1
11,50,1.0,1,12,1
13,35,0.828,2,3,1
16,20,0.72,2,6,1
11,18,0.74,5,4,1
13,50,0.69,1,9,1
13,39,0.688,1,6,1
13,50,0.68,1,6,1
7,7,0.641,9,3,1
14,22,0.66,1,5,1
15,43,0.63,1,6,1
15,22,0.94,1,5,1
12,33,0.955,1,10,1
16,24,0.964,1,3,1
16,18,0.9,1,2,1
10,17,0.87,6,9,1
10,34,0.949,6,7,1
12,12,0.398,4,9,1
10,35,0.87,5,12,1
12,29,0.818,5,6,1
15,50,0.82,1,2,1
16,17,0.9,1,2,1
19,32,0.508,1,2,1
16,50,0.68,3,3,1
16,35,0.72,1,3,1
17,37,0.8,1,2,1
11,17,0.84,1,8,1
17,43,0.807,1,2,1
11,45,0.68,5,4,1
9,9,0.781,1,2,1
