actual_depth,max_depth,max_features,min_samples_leaf,min_samples_split,random_state
6,6,0.765,5,4,1
10,10,0.446,1,3,1
10,10,0.51,1,7,1
6,6,0.574,1,7,1
8,8,0.812,3,6,1
8,8,0.504,1,2,1
6,6,0.93,4,12,1
7,7,0.99,3,3,1
8,8,0.535,3,2,1
10,12,0.62,3,11,1
4,4,0.95,2,2,1
8,11,0.538,4,15,1
11,11,0.471,1,9,1
9,10,0.932,1,10,1
3,3,0.35,8,12,1
5,5,1.0,8,18,1
5,5,0.53,1,2,1
7,7,0.947,1,2,1
6,6,0.97,1,20,1
4,4,0.586,9,14,1
5,5,0.806,5,13,1
6,6,0.86,5,20,1
6,6,0.55,8,5,1
9,10,0.87,2,20,1
7,10,0.86,6,13,1
5,10,0.1,6,15,1
3,3,0.863,11,19,1
4,4,0.974,5,2,1
4,4,0.42,3,13,1
6,6,0.562,7,9,1
8,8,0.505,1,8,1
5,5,0.794,10,7,1
4,4,0.948,4,3,1
7,8,0.669,5,7,1
7,7,0.75,6,2,1
8,10,0.959,5,10,1
5,5,0.902,8,6,1
6,6,0.67,2,2,1
4,4,0.897,7,6,1
9,9,0.679,4,7,1
9,12,0.58,1,10,1
5,5,0.84,1,2,1
10,10,0.517,3,9,1
10,10,0.61,1,5,1
5,5,0.92,9,8,1
9,9,0.682,1,18,1
6,6,0.92,5,11,1
7,7,0.465,2,12,1
9,12,0.67,4,4,1
9,12,0.46,3,2,1
7,7,0.629,1,12,1
5,10,0.846,9,2,1
6,10,0.39,7,8,1
8,10,0.87,2,13,1
5,8,0.853,12,2,1
7,7,0.948,3,4,1
3,3,0.344,9,12,1
8,8,0.68,4,11,1
7,7,0.871,2,10,1
6,8,0.79,10,11,1
5,5,0.39,7,16,1
5,7,0.57,12,2,1
6,6,0.63,3,6,1
6,6,0.372,1,15,1
7,10,0.875,7,9,1
7,7,0.9,6,4,1
6,6,0.8,1,5,1
7,9,0.874,1,20,1
9,9,0.52,5,6,1
8,8,0.683,4,9,1
7,10,0.92,7,10,1
7,7,0.636,6,3,1
5,5,0.8,4,12,1
6,12,0.019,8,20,1
7,7,0.68,5,2,1
8,8,0.39,1,10,1
6,6,0.696,4,10,1
9,9,0.63,1,2,1
6,6,0.794,3,11,1
7,11,0.84,5,19,1
7,7,0.84,4,2,1
9,10,0.68,3,2,1
8,8,0.677,1,4,1
7,12,0.578,6,7,1
9,9,0.988,2,3,1
10,10,0.66,4,4,1
7,7,0.85,5,7,1
6,11,0.903,5,13,1
5,6,0.73,12,13,1
8,9,0.634,5,16,1
7,7,0.85,3,12,1
6,7,0.73,1,20,1
9,11,0.97,3,2,1
11,11,0.83,1,15,1
7,7,0.646,2,9,1
7,7,0.595,3,12,1
8,8,0.64,3,2,1
11,11,0.976,1,6,1
11,12,0.57,3,2,1
10,12,0.548,3,8,1
7,9,0.79,5,2,1
6,6,0.72,4,13,1
6,6,0.853,1,10,1
5,5,0.97,4,15,1
5,5,0.578,7,15,1
8,10,0.896,3,14,1
8,8,0.654,5,4,1
10,10,0.871,3,2,1
5,5,0.93,4,4,1
4,4,0.947,2,14,1
5,5,0.8,6,4,1
7,8,0.494,6,3,1
7,8,0.945,7,4,1
6,10,0.61,7,3,1
8,11,0.47,3,4,1
9,9,0.794,1,4,1
11,11,0.9,1,2,1
7,7,0.5,5,7,1
4,4,0.89,7,14,1
2,2,0.95,6,16,1
8,8,0.416,5,2,1
5,5,0.687,4,5,1
9,9,0.79,3,6,1
10,11,0.852,3,3,1
5,5,0.53,1,17,1
10,11,0.381,2,7,1
6,6,0.52,4,4,1
5,5,0.948,2,14,1
7,7,0.962,3,10,1
8,8,0.82,1,2,1
9,9,0.763,4,4,1
6,6,0.937,1,2,1
6,6,0.515,2,9,1
8,8,0.393,3,11,1
6,6,0.76,1,10,1
12,12,0.65,1,4,1
6,6,0.687,2,5,1
7,7,0.97,4,12,1
9,10,0.881,4,6,1
8,10,0.409,5,2,1
5,5,0.84,4,2,1
7,10,0.91,6,2,1
6,6,0.618,6,13,1
10,11,0.41,3,9,1
7,7,0.845,6,4,1
7,9,0.77,4,20,1
9,9,0.867,1,10,1
11,12,0.82,2,4,1
7,7,0.762,1,3,1
6,9,0.87,7,8,1
9,9,0.84,1,4,1
6,6,0.99,1,8,1
4,4,0.722,7,3,1
7,9,0.801,3,10,1
4,4,0.679,11,12,1
7,10,0.85,6,6,1
8,8,0.8,4,2,1
8,8,0.822,2,10,1
9,12,0.43,4,3,1
6,6,0.932,6,11,1
8,8,0.443,2,2,1
6,6,0.76,2,9,1
6,10,0.703,4,17,1
5,5,0.4,2,3,1
6,8,0.954,7,16,1
4,4,0.897,4,8,1
8,11,1.0,4,7,1
7,7,0.782,4,5,1
6,6,0.846,1,2,1
6,6,0.929,5,11,1
5,5,0.971,4,2,1
3,3,0.943,10,3,1
5,10,0.894,11,11,1
9,9,0.765,2,6,1
6,10,0.87,9,9,1
11,11,0.847,1,5,1
7,7,0.649,2,15,1
6,6,0.88,5,10,1
7,7,0.82,3,2,1
6,11,0.61,7,10,1
7,7,0.664,3,8,1
4,4,0.783,7,2,1
5,5,0.87,1,9,1
8,8,0.638,1,15,1
3,3,0.78,6,2,1
9,10,0.763,1,8,1
11,11,0.909,1,8,1
7,9,0.74,5,4,1
6,6,0.9,6,10,1
7,7,0.82,3,7,1
6,6,0.857,2,12,1
5,5,0.728,1,9,1
5,5,0.75,4,8,1
6,6,0.857,1,10,1
5,5,0.977,6,12,1
8,11,0.58,1,19,1
8,8,0.5,6,13,1
9,9,0.999,1,11,1
6,6,0.872,5,20,1
8,8,0.99,4,2,1
