actual_depth,max_depth,max_features,min_samples_leaf,min_samples_split,random_state
9,9,0.541,2,3,1
4,4,0.295,4,2,1
3,12,0.984,11,11,1
7,7,0.81,3,3,1
4,10,0.372,2,10,1
5,7,0.486,4,3,1
4,4,0.89,3,12,1
4,5,0.636,8,2,1
4,8,0.82,5,18,1
5,11,0.75,5,2,1
6,12,0.72,4,2,1
5,5,0.81,2,2,1
8,10,0.72,1,13,1
7,7,0.64,1,2,1
4,8,0.86,6,2,1
5,5,0.64,1,11,1
4,10,0.16,6,12,1
10,10,0.81,1,2,1
6,8,0.898,3,10,1
3,6,0.97,11,2,1
4,6,0.572,7,2,1
4,4,0.732,5,12,1
5,6,0.53,5,6,1
6,6,0.523,5,8,1
8,8,0.949,1,2,1
5,5,0.64,6,17,1
5,6,0.56,5,4,1
7,9,0.53,1,9,1
5,6,0.814,3,18,1
5,8,0.77,5,9,1
4,11,0.73,6,8,1
4,8,0.61,8,15,1
4,9,0.07,7,4,1
4,9,0.58,6,14,1
4,5,0.42,5,8,1
5,5,0.27,1,13,1
5,6,0.59,1,14,1
1,1,0.884,6,9,1
6,8,0.86,3,14,1
9,10,0.876,1,5,1
5,10,0.864,5,5,1
4,5,0.82,6,8,1
9,9,0.83,1,4,1
5,8,0.903,1,18,1
3,5,0.37,1,17,1
6,9,0.844,2,14,1
7,11,0.638,2,7,1
9,10,0.28,1,5,1
6,10,0.73,1,11,1
3,5,0.933,9,11,1
7,12,0.35,1,8,1
5,8,0.752,3,15,1
11,11,0.1,1,4,1
4,5,0.57,7,11,1
2,3,0.316,11,15,1
4,4,0.85,4,10,1
4,8,0.716,8,5,1
3,3,0.5,3,2,1
4,4,0.46,2,7,1
8,8,0.26,1,8,1
8,9,0.674,2,7,1
7,11,0.837,1,9,1
4,9,0.901,7,14,1
10,10,0.497,1,2,1
3,3,0.802,2,8,1
3,3,0.67,7,15,1
6,6,0.94,2,8,1
3,4,0.34,7,19,1
3,5,0.774,9,12,1
7,8,0.67,2,11,1
3,8,0.72,9,10,1
8,11,0.801,3,2,1
4,9,0.69,7,4,1
10,10,1.0,1,2,1
2,2,0.74,4,3,1
6,11,0.54,4,2,1
5,5,0.64,5,4,1
6,6,0.82,2,6,1
6,12,0.77,3,12,1
6,11,0.968,4,3,1
6,6,0.69,3,2,1
5,12,0.75,5,3,1
4,4,0.48,1,14,1
5,11,0.66,4,18,1
6,7,0.679,4,12,1
5,7,0.897,7,5,1
