actual_depth,max_depth,max_features,min_samples_leaf,min_samples_split,random_state
2,3,0.89,8,8,1
4,9,0.77,3,3,1
3,10,0.97,5,8,1
6,10,0.93,2,3,1
6,6,0.922,1,2,1
4,4,0.955,2,2,1
5,10,0.842,2,2,1
9,10,0.69,1,2,1
3,8,0.87,6,4,1
5,5,0.74,2,2,1
6,6,0.92,1,2,1
3,8,0.868,1,8,1
4,10,0.888,3,2,1
2,9,0.054,5,4,1
5,5,0.77,1,2,1
7,10,0.99,1,3,1
8,9,0.01,1,2,1
8,8,0.86,1,2,1
3,8,0.613,5,7,1
3,4,0.937,5,10,1
5,12,0.98,2,3,1
4,4,0.618,1,6,1
5,10,0.986,1,4,1
1,2,0.122,8,19,1
4,4,0.59,1,3,1
4,7,0.9,3,6,1
5,8,0.51,1,4,1
4,8,0.495,2,4,1
6,11,0.72,2,2,1
3,10,0.911,4,11,1
2,2,0.976,5,7,1
6,6,0.61,1,2,1
6,9,0.702,2,2,1
5,6,0.91,1,4,1
5,9,0.863,2,3,1
2,2,0.88,6,12,1
8,10,0.01,1,2,1
4,12,0.917,2,2,1
6,9,0.999,1,2,1
2,11,0.56,2,9,1
5,5,0.99,2,4,1
3,10,0.62,3,7,1
4,4,0.94,1,2,1
5,10,0.865,1,5,1
2,2,0.93,1,2,1
4,4,0.654,1,3,1
5,10,0.69,2,2,1
8,12,0.44,1,2,1
2,2,0.904,1,8,1
6,6,0.999,2,2,1
4,8,0.94,4,8,1
5,9,0.957,2,3,1
2,5,0.703,8,12,1
5,5,0.848,1,4,1
2,2,0.878,1,4,1
3,10,0.665,3,12,1
2,5,0.887,5,16,1
4,4,0.965,2,2,1
6,7,0.91,1,3,1
7,8,0.688,1,2,1
