actual_depth,max_depth,max_features,min_samples_leaf,min_samples_split,random_state
4,8,0.5,9,13,1
1,1,0.177,8,14,1
3,3,0.54,7,5,1
3,11,0.386,8,11,1
5,5,0.12,2,8,1
4,5,0.713,6,13,1
5,5,0.24,2,8,1
3,3,0.531,7,16,1
2,2,0.56,5,20,1
8,9,0.874,2,6,1
2,2,0.15,4,2,1
10,10,0.138,2,4,1
5,5,0.93,2,18,1
2,2,0.282,2,14,1
3,3,0.56,3,10,1
5,5,0.313,4,2,1
4,7,0.321,11,4,1
3,3,0.72,2,2,1
3,3,0.678,1,19,1
4,8,0.63,6,20,1
3,3,0.651,1,3,1
3,10,0.923,12,6,1
2,2,1.0,4,16,1
3,3,0.8,6,4,1
3,3,0.696,10,11,1
1,1,0.35,8,11,1
1,1,0.27,8,10,1
5,6,0.598,6,17,1
9,9,0.185,1,15,1
3,3,0.242,2,2,1
4,4,0.346,1,7,1
3,3,0.27,11,12,1
4,8,0.504,8,9,1
3,8,0.67,10,10,1
3,3,0.1,3,2,1
3,11,0.778,12,6,1
7,7,0.112,1,2,1
4,5,0.927,6,19,1
4,6,0.329,12,17,1
9,11,0.197,2,4,1
6,10,0.059,5,17,1
1,1,0.442,12,15,1
3,10,0.466,9,4,1
6,6,0.207,6,6,1
5,8,0.51,3,20,1
3,3,0.947,12,17,1
5,12,0.143,7,20,1
1,1,0.444,7,19,1
4,9,0.599,9,18,1
3,9,0.761,12,10,1
3,3,0.765,12,16,1
4,5,0.55,8,11,1
4,8,0.82,8,2,1
5,5,0.19,1,4,1
2,2,0.01,5,17,1
1,1,0.207,5,11,1
2,2,0.01,4,5,1
4,8,0.61,7,19,1
4,10,0.642,9,13,1
4,4,0.381,9,4,1
4,5,0.375,8,3,1
5,7,0.144,9,16,1
2,2,0.829,7,8,1
4,4,0.657,3,6,1
4,8,0.423,2,19,1
6,10,0.451,2,6,1
2,2,0.75,10,6,1
4,9,0.788,11,5,1
3,3,0.993,2,11,1
4,4,0.62,3,11,1
3,11,0.588,10,8,1
2,8,0.218,12,12,1
4,4,0.537,8,19,1
8,10,0.282,3,8,1
3,9,0.974,10,6,1
1,1,0.48,10,16,1
5,11,0.04,6,20,1
3,6,0.75,11,4,1
4,11,0.66,7,20,1
5,11,0.082,9,6,1
2,2,0.539,2,13,1
2,2,0.4,8,16,1
5,10,0.7,4,15,1
6,6,0.27,1,6,1
9,12,0.602,2,2,1
6,7,0.015,5,12,1
2,2,0.695,10,17,1
5,9,0.435,7,5,1
3,3,0.768,10,2,1
6,8,0.24,2,20,1
6,8,0.35,4,5,1
4,4,0.75,1,2,1
11,11,0.188,1,5,1
11,12,0.43,1,3,1
3,10,0.218,8,4,1
5,9,0.52,5,16,1
3,3,0.295,10,10,1
8,8,0.571,1,2,1
3,3,1.0,5,2,1
7,9,0.01,2,14,1
2,2,0.426,7,17,1
6,8,0.45,4,8,1
5,5,0.948,6,11,1
9,9,0.873,1,4,1
1,1,0.01,6,15,1
2,2,0.82,7,10,1
6,7,0.941,5,8,1
4,5,0.945,9,8,1
2,2,0.08,7,10,1
6,7,0.011,6,2,1
2,2,0.562,8,19,1
6,6,0.326,4,6,1
5,9,0.215,9,11,1
5,9,0.01,4,16,1
6,8,0.636,5,12,1
7,9,0.286,3,7,1
4,5,0.61,8,20,1
5,7,0.48,7,12,1
7,10,0.499,3,3,1
9,9,0.051,4,3,1
5,6,0.249,10,14,1
2,2,0.912,2,4,1
6,10,0.138,4,13,1
2,2,0.82,7,9,1
4,4,0.035,1,6,1
8,8,0.01,3,2,1
1,1,0.514,6,13,1
3,6,1.0,10,11,1
2,2,0.598,12,20,1
4,4,0.295,3,18,1
7,7,0.498,1,2,1
4,4,0.134,4,18,1
3,5,0.03,10,6,1
5,11,0.533,2,20,1
4,5,0.55,9,4,1
2,2,0.526,3,8,1
3,3,0.51,12,18,1
5,9,0.94,1,18,1
5,8,0.95,6,7,1
6,6,0.01,1,11,1
7,8,1.0,3,13,1
1,1,0.01,10,16,1
4,10,0.806,2,18,1
4,4,0.034,7,9,1
5,7,0.941,7,2,1
3,3,0.851,7,10,1
5,5,0.332,4,6,1
7,7,0.362,1,4,1
4,4,0.935,1,2,1
4,4,0.312,1,5,1
2,2,0.831,3,11,1
3,3,0.68,8,3,1
5,6,0.452,8,8,1
4,7,0.901,11,17,1
3,3,0.576,4,7,1
4,10,0.514,8,7,1
3,9,0.53,12,9,1
11,11,0.35,1,3,1
4,11,0.86,10,4,1
3,3,0.86,4,8,1
5,5,0.257,3,2,1
6,7,0.023,7,7,1
1,1,0.364,8,6,1
4,4,0.45,10,11,1
9,9,0.844,1,2,1
2,2,0.128,4,15,1
2,2,0.384,2,7,1
5,5,0.61,5,8,1
2,2,0.046,8,6,1
4,4,0.528,8,6,1
6,6,1.0,1,9,1
6,7,0.02,3,20,1
4,5,0.5,11,9,1
6,6,0.89,4,10,1
4,5,0.9,6,17,1
6,9,0.87,4,13,1
1,1,0.538,2,17,1
3,3,0.766,5,8,1
3,4,0.6,11,20,1
4,9,0.033,10,4,1
2,2,0.774,6,2,1
7,10,0.46,3,2,1
4,9,0.81,10,14,1
2,2,0.76,5,18,1
5,7,0.91,6,4,1
3,3,1.0,1,10,1
9,9,0.195,3,3,1
6,6,0.66,1,7,1
2,2,0.17,6,3,1
4,9,0.671,11,2,1
4,8,0.5,6,18,1
5,5,0.167,1,14,1
2,2,0.75,9,13,1
8,11,0.736,4,2,1
3,5,1.0,12,16,1
5,9,0.55,4,16,1
2,2,0.31,12,17,1
8,9,1.0,2,8,1
1,1,1.0,4,12,1
7,9,0.01,4,2,1
