max_depth,max_features,min_samples_leaf,min_samples_split,random_state
35,0.374,5,15,1
47,0.864,1,5,1
32,0.482,3,15,1
36,0.339,2,9,1
46,0.396,9,16,1
15,0.565,5,8,1
42,0.818,10,3,1
18,0.314,1,2,1
46,0.523,3,5,1
48,0.06,1,4,1
24,0.994,6,13,1
4,0.974,3,14,1
27,0.31,2,2,1
20,0.15,1,7,1
36,0.3,1,6,1
3,0.149,1,2,1
43,0.016,4,4,1
26,0.54,5,6,1
37,1.0,1,5,1
25,0.45,7,4,1
22,0.038,1,15,1
46,0.303,17,19,1
4,0.57,1,14,1
35,0.337,1,5,1
44,0.108,3,16,1
46,0.68,8,15,1
21,0.224,3,9,1
38,0.721,1,7,1
4,0.853,2,6,1
38,0.709,5,13,1
1,0.707,1,4,1
3,0.021,1,2,1
8,0.386,5,14,1
33,0.935,1,11,1
27,0.551,1,6,1
42,0.432,5,10,1
9,0.54,8,15,1
5,0.324,1,8,1
37,0.9,1,9,1
28,0.53,5,5,1
21,0.965,13,9,1
18,0.721,1,2,1
34,0.324,8,6,1
33,0.415,7,16,1
9,0.441,7,6,1
12,0.59,1,13,1
48,0.424,6,17,1
43,0.922,2,8,1
18,0.05,1,5,1
15,0.01,1,2,1
36,0.229,1,9,1
27,0.729,1,2,1
5,0.472,3,8,1
1,0.835,2,13,1
39,0.6,2,3,1
39,0.64,2,10,1
21,0.64,4,5,1
40,0.066,1,9,1
27,0.862,8,5,1
44,0.36,1,12,1
