max_depth,max_features,min_samples_leaf,min_samples_split,random_state
36,0.96,1,5,1
29,0.937,10,16,1
34,0.63,1,9,1
16,0.984,3,6,1
41,0.893,2,5,1
28,0.496,7,17,1
19,0.67,5,14,1
16,0.835,2,5,1
35,0.69,6,9,1
35,0.985,7,6,1
12,0.716,6,10,1
31,0.797,2,3,1
11,0.935,7,9,1
16,0.978,3,5,1
19,0.75,3,12,1
37,0.695,1,2,1
17,0.94,3,14,1
20,0.705,1,2,1
47,0.862,5,15,1
19,0.829,9,9,1
37,0.957,3,6,1
8,0.634,6,5,1
22,0.889,2,14,1
35,0.938,8,17,1
29,0.885,2,14,1
18,0.684,4,6,1
35,0.792,1,14,1
17,0.794,5,2,1
42,0.92,1,2,1
18,0.971,7,13,1
15,0.635,7,8,1
24,0.74,3,2,1
50,0.521,2,4,1
42,0.908,3,7,1
18,0.705,15,13,1
27,0.438,6,15,1
29,0.709,3,10,1
48,0.88,3,7,1
15,0.723,3,7,1
19,0.394,1,6,1
24,0.717,6,15,1
38,0.944,5,6,1
16,0.832,1,13,1
49,0.731,4,9,1
25,0.384,1,4,1
41,0.603,5,2,1
15,0.955,6,2,1
9,0.982,2,5,1
29,0.706,2,6,1
45,0.913,4,10,1
45,0.824,2,8,1
17,0.65,1,7,1
27,0.63,5,4,1
28,0.738,1,3,1
28,0.341,1,10,1
24,0.792,1,4,1
40,0.98,1,6,1
27,0.5,1,5,1
12,0.716,4,3,1
48,0.743,1,7,1
24,0.96,5,3,1
10,0.9,3,5,1
34,0.915,1,10,1
34,0.648,6,11,1
41,0.875,1,6,1
35,0.408,4,7,1
21,0.692,5,9,1
47,0.753,5,5,1
29,0.786,1,8,1
18,0.866,6,7,1
11,0.896,2,9,1
37,0.85,1,6,1
47,0.604,1,2,1
36,0.718,1,7,1
40,0.94,1,4,1
36,0.581,5,15,1
27,0.95,4,2,1
35,0.871,4,15,1
45,0.45,1,2,1
39,0.395,7,6,1
27,0.793,3,3,1
41,0.866,6,17,1
31,0.998,1,2,1
16,0.95,4,5,1
20,0.85,4,7,1
26,1.0,2,15,1
21,0.873,3,9,1
41,0.756,5,10,1
34,0.626,7,10,1
45,0.526,5,19,1
14,0.714,2,11,1
44,0.49,3,4,1
17,0.483,1,5,1
46,0.76,1,2,1
17,0.991,6,15,1
45,0.78,2,18,1
31,0.506,3,7,1
40,0.865,2,8,1
35,0.91,3,7,1
41,0.703,2,3,1
18,0.655,3,11,1
41,0.867,10,18,1
12,0.672,2,9,1
9,0.83,2,4,1
29,0.58,1,9,1
15,0.358,1,5,1
28,0.77,1,2,1
31,0.861,8,18,1
50,0.84,6,10,1
32,0.916,5,2,1
19,0.912,5,2,1
11,0.65,1,2,1
25,0.557,1,8,1
34,0.561,2,2,1
40,0.931,6,2,1
44,0.84,1,9,1
23,0.83,3,3,1
15,0.858,6,14,1
11,0.841,5,2,1
28,0.757,9,18,1
20,0.664,2,5,1
26,0.61,5,10,1
21,0.552,11,7,1
10,0.817,2,11,1
47,0.856,6,13,1
49,0.81,7,13,1
20,0.593,2,3,1
17,0.726,8,9,1
11,0.993,4,2,1
23,0.65,1,2,1
34,0.875,8,10,1
44,0.717,1,5,1
16,0.617,4,6,1
36,0.924,1,6,1
12,0.658,7,6,1
31,0.639,1,7,1
20,0.65,3,2,1
35,0.583,2,5,1
40,0.875,2,8,1
47,0.79,2,10,1
29,0.723,3,3,1
30,0.812,1,2,1
23,0.802,5,10,1
48,0.562,1,3,1
39,0.781,4,8,1
24,0.592,3,5,1
17,0.9,4,9,1
32,0.981,2,9,1
28,0.797,1,2,1
39,0.469,2,6,1
21,0.946,1,8,1
19,0.93,5,4,1
31,0.829,3,10,1
42,0.978,3,8,1
48,0.92,1,10,1
11,0.727,2,7,1
27,0.73,4,4,1
45,0.83,3,6,1
32,0.66,7,5,1
22,0.608,1,4,1
19,0.726,4,12,1
17,0.653,2,7,1
22,0.804,1,4,1
12,0.71,1,4,1
11,0.884,4,15,1
16,0.989,3,14,1
41,0.641,1,8,1
30,0.827,2,14,1
12,0.937,3,4,1
11,0.83,1,2,1
15,0.82,1,14,1
43,0.74,1,14,1
13,0.74,6,5,1
10,0.922,4,17,1
39,0.78,6,7,1
15,0.673,3,13,1
14,0.817,1,5,1
22,0.837,4,5,1
36,0.746,2,2,1
32,0.89,4,9,1
33,0.897,1,6,1
33,0.763,6,13,1
31,0.72,4,4,1
46,0.568,3,11,1
19,0.941,6,4,1
43,0.513,1,4,1
41,0.6,6,6,1
37,0.87,6,11,1
45,0.817,2,10,1
16,0.58,1,2,1
38,0.93,1,2,1
25,0.617,3,5,1
11,0.926,4,3,1
9,0.782,1,2,1
35,0.905,2,6,1
10,0.76,2,9,1
49,0.8,1,2,1
26,0.642,7,5,1
11,0.77,4,8,1
22,0.79,1,2,1
