max_depth,max_features,min_samples_leaf,min_samples_split,random_state
18,0.94,1,10,1
11,0.996,1,3,1
15,0.862,3,6,1
39,0.878,7,8,1
50,0.99,7,3,1
11,0.682,1,3,1
33,0.06,1,7,1
22,0.87,1,5,1
32,0.641,1,3,1
23,0.62,4,12,1
13,0.959,2,8,1
18,0.971,4,10,1
10,0.427,8,2,1
17,0.672,3,4,1
18,0.945,4,3,1
49,0.734,8,13,1
11,0.601,2,7,1
35,0.602,6,17,1
29,0.58,1,2,1
38,0.614,4,7,1
15,0.978,2,7,1
20,0.887,3,4,1
27,0.751,3,16,1
45,0.904,3,6,1
6,0.611,1,2,1
46,0.652,4,7,1
48,0.813,2,11,1
29,0.495,1,4,1
27,0.56,4,9,1
14,0.783,5,8,1
34,0.292,1,9,1
9,0.45,1,19,1
48,0.82,5,11,1
24,0.753,2,2,1
4,0.61,2,2,1
17,0.664,4,2,1
16,0.919,8,3,1
18,0.224,2,16,1
4,0.99,6,2,1
36,0.4,1,2,1
39,0.95,3,2,1
7,0.597,2,12,1
18,0.123,1,3,1
8,0.93,3,2,1
29,0.63,2,7,1
35,0.182,6,9,1
42,0.742,7,4,1
23,0.974,3,4,1
3,0.367,3,6,1
46,0.643,1,16,1
46,0.643,2,2,1
24,0.87,1,2,1
36,0.936,4,11,1
20,0.783,4,2,1
36,0.751,1,8,1
20,0.661,2,4,1
14,0.842,6,2,1
43,0.76,2,3,1
36,0.591,1,4,1
47,0.997,1,7,1
